	segments	length_segment	dep_count_k	dependents_k	head_k	head_kLength	posK	dep_count_p	dependents_p	head_p	head_pLength	posP
57	turn right	2	[]	[]	[]	[]	[]	[1]	[{right}]	['turn']	[1]	['VERB']
58	move seven feet	3	[]	[]	[]	[]	[]	[1, 1]	[{feet}, {seven}]	['move', 'move']	[1, 1]	['VERB']
59	mok move four feet up	5	[3]	[{feet, mok, up}]	['move']	[1]	['VERB']	[1]	[{four}]	['move']	[1]	['VERB']
60	turn left	2	[]	[]	[]	[]	[]	[1]	[{left}]	['turn']	[1]	['VERB']
61	move seven feet	3	[]	[]	[]	[]	[]	[1, 1]	[{feet}, {seven}]	['move', 'move']	[1, 1]	['VERB']
62	mok turn right	3	[2]	[{mok, right}]	['turn']	[1]	['VERB']	[]	[]	[]	[]	[]
63	move four feet	3	[]	[]	[]	[]	[]	[1, 1]	[{feet}, {four}]	['move', 'move']	[1, 1]	['VERB']
64	turn left	2	[]	[]	[]	[]	[]	[1]	[{left}]	['turn']	[1]	['VERB']
65	move seven feet	3	[]	[]	[]	[]	[]	[1, 1]	[{feet}, {seven}]	['move', 'move']	[1, 1]	['VERB']
66	mok turn left	3	[2]	[{left, mok}]	['turn']	[1]	['NOUN']	[]	[]	[]	[]	[]
67	move two feet up	4	[2]	[{feet, up}]	['move']	[1]	['VERB']	[1]	[{two}]	['move']	[1]	['VERB']
68	turn right	2	[]	[]	[]	[]	[]	[1]	[{right}]	['turn']	[1]	['VERB']
69	move eleven feet	3	[]	[]	[]	[]	[]	[1, 1]	[{feet}, {eleven}]	['move', 'move']	[1, 1]	['VERB']
70	turn right	2	[]	[]	[]	[]	[]	[1]	[{right}]	['turn']	[1]	['VERB']
71	move two feet	3	[]	[]	[]	[]	[]	[1, 1]	[{feet}, {two}]	['move', 'move']	[1, 1]	['VERB']
72	mok turn left	3	[2]	[{left, mok}]	['turn']	[1]	['NOUN']	[]	[]	[]	[]	[]
73	move two feet up	4	[2]	[{feet, up}]	['move']	[1]	['VERB']	[1]	[{two}]	['move']	[1]	['VERB']
74	turn right	2	[]	[]	[]	[]	[]	[1]	[{right}]	['turn']	[1]	['VERB']
75	move seven feet	3	[]	[]	[]	[]	[]	[1, 1]	[{feet}, {seven}]	['move', 'move']	[1, 1]	['VERB']
76	mok turn left	3	[2]	[{mok, left}]	['turn']	[1]	['NOUN']	[]	[]	[]	[]	[]
77	move three feet	3	[]	[]	[]	[]	[]	[1, 1]	[{feet}, {three}]	['move', 'move']	[1, 1]	['VERB']
78	mok move up a foot	5	[3]	[{foot, up, mok}]	['move']	[1]	['VERB']	[1]	[{a}]	['move']	[1]	['VERB']
79	turn left	2	[]	[]	[]	[]	[]	[1]	[{left}]	['turn']	[1]	['VERB']
80	move eleven feet	3	[]	[]	[]	[]	[]	[1, 1]	[{feet}, {eleven}]	['move', 'move']	[1, 1]	['VERB']
81	turn left	2	[]	[]	[]	[]	[]	[1]	[{left}]	['turn']	[1]	['VERB']
82	move a foot	3	[]	[]	[]	[]	[]	[1, 1]	[{foot}, {a}]	['move', 'move']	[1, 1]	['VERB']
83	mok move four feet up	5	[3]	[{up, feet, mok}]	['move']	[1]	['VERB']	[1]	[{four}]	['move']	[1]	['VERB']
84	turn left	2	[]	[]	[]	[]	[]	[1]	[{left}]	['turn']	[1]	['VERB']
85	move seven feet	3	[]	[]	[]	[]	[]	[1, 1]	[{feet}, {seven}]	['move', 'move']	[1, 1]	['VERB']
86	mok turn right	3	[2]	[{mok, right}]	['turn']	[1]	['VERB']	[]	[]	[]	[]	[]
87	move four feet up	4	[2]	[{feet, up}]	['move']	[1]	['VERB']	[1]	[{four}]	['move']	[1]	['VERB']
88	turn left	2	[]	[]	[]	[]	[]	[1]	[{left}]	['turn']	[1]	['VERB']
89	move seven feet	3	[]	[]	[]	[]	[]	[1, 1]	[{feet}, {seven}]	['move', 'move']	[1, 1]	['VERB']
90	mok turn left	3	[2]	[{mok, left}]	['turn']	[1]	['NOUN']	[]	[]	[]	[]	[]
91	move a foot	3	[]	[]	[]	[]	[]	[1, 1]	[{foot}, {a}]	['move', 'move']	[1, 1]	['VERB']
92	turn right	2	[]	[]	[]	[]	[]	[1]	[{right}]	['turn']	[1]	['VERB']
93	move eleven feet	3	[]	[]	[]	[]	[]	[1, 1]	[{feet}, {eleven}]	['move', 'move']	[1, 1]	['VERB']
94	turn left	2	[]	[]	[]	[]	[]	[1]	[{left}]	['turn']	[1]	['VERB']
95	move a foot up	4	[2]	[{foot, up}]	['move']	[1]	['VERB']	[1]	[{a}]	['move']	[1]	['VERB']
96	mok turn right	3	[2]	[{mok, right}]	['turn']	[1]	['VERB']	[]	[]	[]	[]	[]
97	move up a foot	4	[2]	[{up, foot}]	['move']	[1]	['VERB']	[1]	[{a}]	['move']	[1]	['VERB']
98	turn right	2	[]	[]	[]	[]	[]	[1]	[{right}]	['turn']	[1]	['VERB']
99	move eleven feet	3	[]	[]	[]	[]	[]	[1, 1]	[{feet}, {eleven}]	['move', 'move']	[1, 1]	['VERB']
100	turn right	2	[]	[]	[]	[]	[]	[1]	[{right}]	['turn']	[1]	['VERB']
101	move a foot	3	[]	[]	[]	[]	[]	[1, 1]	[{foot}, {a}]	['move', 'move']	[1, 1]	['VERB']
102	mok turn right	3	[2]	[{right, mok}]	['turn']	[1]	['VERB']	[]	[]	[]	[]	[]
103	move four feet up	4	[2]	[{up, feet}]	['move']	[1]	['VERB']	[1]	[{four}]	['move']	[1]	['VERB']
104	turn left	2	[]	[]	[]	[]	[]	[1]	[{left}]	['turn']	[1]	['VERB']
105	move seven feet	3	[]	[]	[]	[]	[]	[1, 1]	[{feet}, {seven}]	['move', 'move']	[1, 1]	['VERB']
106	mok move up four feet	5	[3]	[{mok, up, feet}]	['move']	[1]	['VERB']	[1]	[{four}]	['move']	[1]	['VERB']
107	turn left	2	[]	[]	[]	[]	[]	[1]	[{left}]	['turn']	[1]	['VERB']
108	move seven feet	3	[]	[]	[]	[]	[]	[1, 1]	[{feet}, {seven}]	['move', 'move']	[1, 1]	['VERB']
109	mok turn right	3	[2]	[{right, mok}]	['turn']	[1]	['VERB']	[]	[]	[]	[]	[]
110	move three feet up	4	[2]	[{feet, up}]	['move']	[1]	['VERB']	[1]	[{three}]	['move']	[1]	['VERB']
111	mok turn left	3	[2]	[{left, mok}]	['turn']	[1]	['NOUN']	[]	[]	[]	[]	[]
112	move up two feet	4	[2]	[{up, feet}]	['move']	[1]	['VERB']	[1]	[{two}]	['move']	[1]	['VERB']
113	turn right	2	[]	[]	[]	[]	[]	[1]	[{right}]	['turn']	[1]	['VERB']
114	move eleven feet	3	[]	[]	[]	[]	[]	[1, 1]	[{feet}, {eleven}]	['move', 'move']	[1, 1]	['VERB']
115	turn right	2	[]	[]	[]	[]	[]	[1]	[{right}]	['turn']	[1]	['VERB']
116	move two feet down	4	[2]	[{down, feet}]	['move']	[1]	['VERB']	[1]	[{two}]	['move']	[1]	['VERB']
117	mok move three feet up	5	[3]	[{up, feet, mok}]	['move']	[1]	['VERB']	[1]	[{three}]	['move']	[1]	['VERB']
118	mok move two feet back	5	[3]	[{feet, mok, back}]	['move']	[1]	['VERB']	[1]	[{two}]	['move']	[1]	['VERB']
119	turn left	2	[]	[]	[]	[]	[]	[1]	[{left}]	['turn']	[1]	['VERB']
120	move seven feet up	4	[2]	[{up, feet}]	['move']	[1]	['VERB']	[1]	[{seven}]	['move']	[1]	['VERB']
121	mok turn right	3	[2]	[{mok, right}]	['turn']	[1]	['VERB']	[]	[]	[]	[]	[]
122	move three feet up	4	[2]	[{up, feet}]	['move']	[1]	['VERB']	[1]	[{three}]	['move']	[1]	['VERB']
123	mok turn left	3	[2]	[{left, mok}]	['turn']	[1]	['NOUN']	[]	[]	[]	[]	[]
124	move two feet up	4	[2]	[{feet, up}]	['move']	[1]	['VERB']	[1]	[{two}]	['move']	[1]	['VERB']
125	turn left	2	[]	[]	[]	[]	[]	[1]	[{left}]	['turn']	[1]	['VERB']
126	move eleven feet	3	[]	[]	[]	[]	[]	[1, 1]	[{feet}, {eleven}]	['move', 'move']	[1, 1]	['VERB']
127	turn left	2	[]	[]	[]	[]	[]	[1]	[{left}]	['turn']	[1]	['VERB']
128	move up two feet	4	[2]	[{up, feet}]	['move']	[1]	['VERB']	[1]	[{two}]	['move']	[1]	['VERB']
129	mok move two feet up	5	[3]	[{feet, up, mok}]	['move']	[1]	['VERB']	[1]	[{two}]	['move']	[1]	['VERB']
130	turn right	2	[]	[]	[]	[]	[]	[1]	[{right}]	['turn']	[1]	['VERB']
131	move eleven feet	3	[]	[]	[]	[]	[]	[1, 1]	[{feet}, {eleven}]	['move', 'move']	[1, 1]	['VERB']
132	turn right	2	[]	[]	[]	[]	[]	[1]	[{right}]	['turn']	[1]	['VERB']
133	move two feet forward	4	[]	[]	[]	[]	[]	[1, 1, 1]	[{forward}, {two}, {feet}]	['move', 'forward', 'move']	[1, 1, 1]	['VERB']
134	mok move two feet back	5	[3]	[{feet, mok, back}]	['move']	[1]	['VERB']	[1]	[{two}]	['move']	[1]	['VERB']
135	turn left	2	[]	[]	[]	[]	[]	[1]	[{left}]	['turn']	[1]	['VERB']
136	move seven feet forward	4	[]	[]	[]	[]	[]	[1, 1, 1]	[{forward}, {seven}, {feet}]	['move', 'forward', 'move']	[1, 1, 1]	['VERB']
137	mok turn right	3	[2]	[{mok, right}]	['turn']	[1]	['VERB']	[]	[]	[]	[]	[]
138	move three feet forward	4	[]	[]	[]	[]	[]	[1, 1, 1]	[{forward}, {three}, {feet}]	['move', 'forward', 'move']	[1, 1, 1]	['VERB']
139	mok move two feet up	5	[3]	[{up, feet, mok}]	['move']	[1]	['VERB']	[1]	[{two}]	['move']	[1]	['VERB']
140	turn right	2	[]	[]	[]	[]	[]	[1]	[{right}]	['turn']	[1]	['VERB']
141	move eleven feet	3	[]	[]	[]	[]	[]	[1, 1]	[{feet}, {eleven}]	['move', 'move']	[1, 1]	['VERB']
142	turn right	2	[]	[]	[]	[]	[]	[1]	[{right}]	['turn']	[1]	['VERB']
143	move two feet	3	[]	[]	[]	[]	[]	[1, 1]	[{feet}, {two}]	['move', 'move']	[1, 1]	['VERB']
144	mok move four feet backwards	5	[3]	[{feet, backwards, mok}]	['move']	[1]	['VERB']	[1]	[{four}]	['move']	[1]	['VERB']
145	turn right	2	[]	[]	[]	[]	[]	[1]	[{right}]	['turn']	[1]	['VERB']
146	move seven feet	3	[]	[]	[]	[]	[]	[1, 1]	[{feet}, {seven}]	['move', 'move']	[1, 1]	['VERB']
147	mok turn right	3	[2]	[{mok, right}]	['turn']	[1]	['VERB']	[]	[]	[]	[]	[]
148	move two feet forward	4	[]	[]	[]	[]	[]	[1, 1, 1]	[{forward}, {two}, {feet}]	['move', 'forward', 'move']	[1, 1, 1]	['VERB']
149	turn right	2	[]	[]	[]	[]	[]	[1]	[{right}]	['turn']	[1]	['VERB']
150	move seven feet	3	[]	[]	[]	[]	[]	[1, 1]	[{feet}, {seven}]	['move', 'move']	[1, 1]	['VERB']
151	mok turn right	3	[2]	[{right, mok}]	['turn']	[1]	['VERB']	[]	[]	[]	[]	[]
152	move three feet forward	4	[]	[]	[]	[]	[]	[1, 1, 1]	[{forward}, {three}, {feet}]	['move', 'forward', 'move']	[1, 1, 1]	['VERB']
153	mok turn left	3	[2]	[{left, mok}]	['turn']	[1]	['NOUN']	[]	[]	[]	[]	[]
154	move two feet forward	4	[]	[]	[]	[]	[]	[1, 1, 1]	[{forward}, {two}, {feet}]	['move', 'forward', 'move']	[1, 1, 1]	['VERB']
155	turn right	2	[]	[]	[]	[]	[]	[1]	[{right}]	['turn']	[1]	['VERB']
156	move eleven feet	3	[]	[]	[]	[]	[]	[1, 1]	[{feet}, {eleven}]	['move', 'move']	[1, 1]	['VERB']
157	turn right	2	[]	[]	[]	[]	[]	[1]	[{right}]	['turn']	[1]	['VERB']
158	move two feet	3	[]	[]	[]	[]	[]	[1, 1]	[{feet}, {two}]	['move', 'move']	[1, 1]	['VERB']
159	mok move four feet forward	5	[2]	[{mok, forward}]	['move']	[1]	['VERB']	[1, 1]	[{four}, {feet}]	['forward', 'move']	[1, 1]	['VERB']
160	turn left	2	[]	[]	[]	[]	[]	[1]	[{left}]	['turn']	[1]	['VERB']
161	move seven feet	3	[]	[]	[]	[]	[]	[1, 1]	[{feet}, {seven}]	['move', 'move']	[1, 1]	['VERB']
162	mok move two feet backwards	5	[3]	[{feet, mok, backwards}]	['move']	[1]	['VERB']	[1]	[{two}]	['move']	[1]	['VERB']
163	turn left	2	[]	[]	[]	[]	[]	[1]	[{left}]	['turn']	[1]	['VERB']
164	move seven feet	3	[]	[]	[]	[]	[]	[1, 1]	[{feet}, {seven}]	['move', 'move']	[1, 1]	['VERB']
165	mok move backwards a foot	5	[3]	[{mok, foot, backwards}]	['move']	[1]	['NOUN']	[1]	[{a}]	['move']	[1]	['NOUN']
166	turn right	2	[]	[]	[]	[]	[]	[1]	[{right}]	['turn']	[1]	['VERB']
167	move eleven feet	3	[]	[]	[]	[]	[]	[1, 1]	[{feet}, {eleven}]	['move', 'move']	[1, 1]	['VERB']
168	turn left	2	[]	[]	[]	[]	[]	[1]	[{left}]	['turn']	[1]	['VERB']
169	and move a foot	4	[2]	[{foot, and}]	['move']	[1]	['VERB']	[1]	[{a}]	['move']	[1]	['VERB']
170	mok move two feet up	5	[3]	[{up, feet, mok}]	['move']	[1]	['VERB']	[1]	[{two}]	['move']	[1]	['VERB']
171	turn right	2	[]	[]	[]	[]	[]	[1]	[{right}]	['turn']	[1]	['VERB']
172	move seven feet	3	[]	[]	[]	[]	[]	[1, 1]	[{feet}, {seven}]	['move', 'move']	[1, 1]	['VERB']
173	mok turn left	3	[2]	[{left, mok}]	['turn']	[1]	['NOUN']	[]	[]	[]	[]	[]
174	move two feet up	4	[2]	[{up, feet}]	['move']	[1]	['VERB']	[1]	[{two}]	['move']	[1]	['VERB']
175	turn left no turn right	5	[3]	[{right, turn, turn}]	['left']	[1]	['VERB']	[1]	[{no}]	['left']	[1]	['VERB']
176	move seven feet forward	4	[]	[]	[]	[]	[]	[1, 1, 1]	[{forward}, {seven}, {feet}]	['move', 'forward', 'move']	[1, 1, 1]	['VERB']
177	mok turn left	3	[2]	[{left, mok}]	['turn']	[1]	['NOUN']	[]	[]	[]	[]	[]
178	move three feet forward	4	[]	[]	[]	[]	[]	[1, 1, 1]	[{forward}, {three}, {feet}]	['move', 'forward', 'move']	[1, 1, 1]	['VERB']
179	mok turn left	3	[2]	[{mok, left}]	['turn']	[1]	['NOUN']	[]	[]	[]	[]	[]
180	move two feet up	4	[2]	[{up, feet}]	['move']	[1]	['VERB']	[1]	[{two}]	['move']	[1]	['VERB']
181	turn right	2	[]	[]	[]	[]	[]	[1]	[{right}]	['turn']	[1]	['VERB']
182	move seven feet forward	4	[]	[]	[]	[]	[]	[1, 1, 1]	[{forward}, {seven}, {feet}]	['move', 'forward', 'move']	[1, 1, 1]	['VERB']
183	mok move three feet forward	5	[2]	[{forward, mok}]	['move']	[1]	['VERB']	[1, 1]	[{three}, {feet}]	['forward', 'move']	[1, 1]	['VERB']
184	mok turn left	3	[2]	[{mok, left}]	['turn']	[1]	['NOUN']	[]	[]	[]	[]	[]
185	move four feet forward	4	[]	[]	[]	[]	[]	[1, 1, 1]	[{forward}, {four}, {feet}]	['move', 'forward', 'move']	[1, 1, 1]	['VERB']
186	turn left	2	[]	[]	[]	[]	[]	[1]	[{left}]	['turn']	[1]	['VERB']
187	move seven feet	3	[]	[]	[]	[]	[]	[1, 1]	[{feet}, {seven}]	['move', 'move']	[1, 1]	['VERB']
188	mok go back four feet	5	[3]	[{feet, back, mok}]	['go']	[1]	['VERB']	[1]	[{four}]	['go']	[1]	['VERB']
189	turn right	2	[]	[]	[]	[]	[]	[1]	[{right}]	['turn']	[1]	['VERB']
190	move seven feet	3	[]	[]	[]	[]	[]	[1, 1]	[{feet}, {seven}]	['move', 'move']	[1, 1]	['VERB']
191	mok turn left	3	[2]	[{mok, left}]	['turn']	[1]	['NOUN']	[]	[]	[]	[]	[]
192	move four feet up	4	[2]	[{feet, up}]	['move']	[1]	['VERB']	[1]	[{four}]	['move']	[1]	['VERB']
193	turn left	2	[]	[]	[]	[]	[]	[1]	[{left}]	['turn']	[1]	['VERB']
194	move seven feet	3	[]	[]	[]	[]	[]	[1, 1]	[{feet}, {seven}]	['move', 'move']	[1, 1]	['VERB']
195	mok turn right	3	[2]	[{right, mok}]	['turn']	[1]	['VERB']	[]	[]	[]	[]	[]
196	move two feet up	4	[2]	[{up, feet}]	['move']	[1]	['VERB']	[1]	[{two}]	['move']	[1]	['VERB']
197	turn right	2	[]	[]	[]	[]	[]	[1]	[{right}]	['turn']	[1]	['VERB']
198	move eleven feet	3	[]	[]	[]	[]	[]	[1, 1]	[{feet}, {eleven}]	['move', 'move']	[1, 1]	['VERB']
199	turn right	2	[]	[]	[]	[]	[]	[1]	[{right}]	['turn']	[1]	['VERB']
200	move two feet	3	[]	[]	[]	[]	[]	[1, 1]	[{feet}, {two}]	['move', 'move']	[1, 1]	['VERB']
201	mok move two feet back	5	[3]	[{mok, back, feet}]	['move']	[1]	['VERB']	[1]	[{two}]	['move']	[1]	['VERB']
202	turn left	2	[]	[]	[]	[]	[]	[1]	[{left}]	['turn']	[1]	['VERB']
203	move eleven feet	3	[]	[]	[]	[]	[]	[1, 1]	[{feet}, {eleven}]	['move', 'move']	[1, 1]	['VERB']
204	turn right	2	[]	[]	[]	[]	[]	[1]	[{right}]	['turn']	[1]	['VERB']
205	move two feet	3	[]	[]	[]	[]	[]	[1, 1]	[{feet}, {two}]	['move', 'move']	[1, 1]	['VERB']
206	mok turn left	3	[2]	[{mok, left}]	['turn']	[1]	['NOUN']	[]	[]	[]	[]	[]
207	move three feet forward	4	[]	[]	[]	[]	[]	[1, 1, 1]	[{forward}, {three}, {feet}]	['move', 'forward', 'move']	[1, 1, 1]	['VERB']
208	mok move forward	3	[2]	[{mok, forward}]	['move']	[1]	['VERB']	[]	[]	[]	[]	[]
209	turn left	2	[]	[]	[]	[]	[]	[1]	[{left}]	['turn']	[1]	['VERB']
210	move eleven feet	3	[]	[]	[]	[]	[]	[1, 1]	[{feet}, {eleven}]	['move', 'move']	[1, 1]	['VERB']
211	turn left	2	[]	[]	[]	[]	[]	[1]	[{left}]	['turn']	[1]	['VERB']
212	move a foot	3	[]	[]	[]	[]	[]	[1, 1]	[{foot}, {a}]	['move', 'move']	[1, 1]	['VERB']
213	mok turn right	3	[2]	[{mok, right}]	['turn']	[1]	['VERB']	[]	[]	[]	[]	[]
214	move four feet	3	[]	[]	[]	[]	[]	[1, 1]	[{feet}, {four}]	['move', 'move']	[1, 1]	['VERB']
215	turn right	2	[]	[]	[]	[]	[]	[1]	[{right}]	['turn']	[1]	['VERB']
216	move seven feet	3	[]	[]	[]	[]	[]	[1, 1]	[{feet}, {seven}]	['move', 'move']	[1, 1]	['VERB']
217	mok turn around	3	[2]	[{around, mok}]	['turn']	[1]	['VERB']	[]	[]	[]	[]	[]
218	move three feet	3	[]	[]	[]	[]	[]	[1, 1]	[{feet}, {three}]	['move', 'move']	[1, 1]	['VERB']
219	mok go back two feet	5	[3]	[{feet, back, mok}]	['go']	[1]	['VERB']	[1]	[{two}]	['go']	[1]	['VERB']
220	turn left	2	[]	[]	[]	[]	[]	[1]	[{left}]	['turn']	[1]	['VERB']
221	move eleven feet	3	[]	[]	[]	[]	[]	[1, 1]	[{feet}, {eleven}]	['move', 'move']	[1, 1]	['VERB']
222	turn right	2	[]	[]	[]	[]	[]	[1]	[{right}]	['turn']	[1]	['VERB']
223	move two feet forward	4	[]	[]	[]	[]	[]	[1, 1, 1]	[{forward}, {two}, {feet}]	['move', 'forward', 'move']	[1, 1, 1]	['VERB']
224	move ahead two feet	4	[2]	[{feet, ahead}]	['move']	[1]	['VERB']	[1]	[{two}]	['move']	[1]	['VERB']
225	turn to your right	4	[]	[]	[]	[]	[]	[1, 1, 1]	[{to}, {right}, {your}]	['turn', 'turn', 'to']	[1, 1, 1]	['ADP']
226	move ahead seven feet	4	[2]	[{feet, ahead}]	['move']	[1]	['VERB']	[1]	[{seven}]	['move']	[1]	['VERB']
227	turn left	2	[]	[]	[]	[]	[]	[1]	[{left}]	['turn']	[1]	['VERB']
228	move till you are facing your directly in front	9	[5]	[{directly, are, you, till, in}]	['move']	[1]	['VERB']	[1, 1, 1]	[{facing}, {your}, {front}]	['move', 'facing', 'facing']	[1, 1, 1]	['VERB']
229	or aki is directly in front of you	8	[4]	[{or, aki, in, directly}]	['is']	[1]	['VERB']	[1, 1, 1]	[{front}, {of}, {you}]	['is', 'in', 'front']	[1, 1, 1]	['NOUN']
230	turn left	2	[]	[]	[]	[]	[]	[1]	[{left}]	['turn']	[1]	['VERB']
231	move ahead two feet	4	[2]	[{feet, ahead}]	['move']	[1]	['VERB']	[1]	[{two}]	['move']	[1]	['VERB']
