	cleaned_inst_segment	index
169	move seven feet	42.0
171	mok turn right	43.0
172	move two feet forward	43.0
173	turn right	43.0
174	move seven feet	43.0
176	mok turn right	44.0
177	move three feet forward	44.0
179	mok turn left	45.0
180	move two feet forward	45.0
181	turn right	45.0
182	move eleven feet	45.0
183	turn right	45.0
184	move two feet	45.0
186	mok move four feet forward	46.0
187	turn left	46.0
188	move seven feet	46.0
190	mok move two feet backwards	47.0
191	turn left	47.0
192	move seven feet	47.0
194	mok move backwards a foot	48.0
195	turn right	48.0
196	move eleven feet	48.0
197	turn left	48.0
198	and move a foot	48.0
200	mok move two feet up	49.0
201	turn right	49.0
202	move seven feet	49.0
204	mok turn left	50.0
205	move two feet up	50.0
206	turn left no turn right	50.0
207	move seven feet forward	50.0
209	mok turn left	51.0
210	move three feet forward	51.0
212	mok turn left	52.0
213	move two feet up	52.0
214	turn right	52.0
215	move seven feet forward	52.0
217	mok move three feet forward	53.0
219	mok turn left	54.0
220	move four feet forward	54.0
221	turn left	54.0
222	move seven feet	54.0
224	mok go back four feet	55.0
225	turn right	55.0
226	move seven feet	55.0
228	mok turn left	56.0
229	move four feet up	56.0
230	turn left	56.0
231	move seven feet	56.0
233	mok turn right	57.0
234	move two feet up	57.0
235	turn right	57.0
236	move eleven feet	57.0
237	turn right	57.0
238	move two feet	57.0
240	mok move two feet back	58.0
241	turn left	58.0
242	move eleven feet	58.0
243	turn right	58.0
244	move two feet	58.0
246	mok turn left	59.0
247	move three feet forward	59.0
249	mok move forward	60.0
250	turn left	60.0
251	move eleven feet	60.0
252	turn left	60.0
253	move a foot	60.0
255	mok turn right	61.0
256	move four feet	61.0
257	turn right	61.0
258	move seven feet	61.0
260	mok turn around	62.0
261	move three feet	62.0
263	mok go back two feet	63.0
264	turn left	63.0
265	move eleven feet	63.0
266	turn right	63.0
267	move two feet forward	63.0
269	move ahead two feet	64.0
270	turn to your right	64.0
271	move ahead seven feet	64.0
273	turn left	65.0
274	move till you are facing your directly in front	65.0
275	or aki is directly in front of you	65.0
276	turn left	65.0
277	move ahead two feet	65.0
278	take a right	65.0
279	and move ahead just one foot	65.0
281	move forward about three and a half feet	66.0
283	move forward about six feet	67.0
284	turn left	67.0
285	and then move forward again about seven feet	67.0
287	rotate to your right	68.0
288	move forward about five feet	68.0
289	rotate again to your left	68.0
290	and move forward about seven feet	68.0
292	move forward about two feet	69.0
293	rotate to your right	69.0
294	move forward about ten feet	69.0
295	rotate again to your right	69.0
296	and then move again two feet	69.0
297	turn all the way around	70.0
298	you are facing the other direction	70.0
299	or that is turn one hundred and eighty degrees	70.0
300	move about two feet	71.0
301	rotate again to your right	71.0
302	move about seven feet	71.0
303	rotate to your left	71.0
304	then move forward about three or four feet four feet	71.0
305	rotate to your left	72.0
306	move seven feet forwards	72.0
308	move forward about two feet	73.0
309	then rotate to your right	73.0
310	then move forward about ten feet	73.0
311	then rotate to your right again	73.0
312	and move forward about two feet	73.0
314	rotate to your left	74.0
315	then move forward about three and a half feet	74.0
317	move forward about four feet	75.0
318	then rotate to your left	75.0
319	then move forward about seven feet	75.0
321	rotate to your right	76.0
322	then move forward about four feet	76.0
323	then rotate to your left	76.0
324	and move about seven feet stop	76.0
326	move forward about three and a half feet and stop	77.0
327	rotate to your left	77.0
328	move forward about four feet	77.0
329	then rotate to your left again	77.0
330	and move forward about seven feet and stop	77.0
332	rotate ninety degrees to your right	78.0
333	move forward about two feet	78.0
334	rotate again to your right ninety degrees	78.0
335	move forward about seven feet and stop	78.0
337	rotate to your left about ninety degrees	79.0
338	move forward three and a half feet and stop	79.0
340	rotate about ninety degrees to your right	80.0
341	move forward three and a half feet and stop	80.0
343	move forward about four feet and stop	81.0
344	rotate to your left ninety degrees	81.0
345	then move forward seven feet and stop	81.0
347	move forward about two feet	82.0
348	then rotate to your left	82.0
349	move forward about ten feet	82.0
350	rotate to your left again ninety degrees	82.0
351	move forward two feet and stop	82.0
353	rotate about ninety degrees to your left	83.0
354	move forward about two feet	83.0
355	rotate ninety degrees to your right	83.0
356	move forward about seven feet and stop	83.0
358	 turn all the way around so you are facing the other direction	84.0
359	or rotate one hundred and eighty degrees 	84.0
360	 move forward about four feet and stop 	84.0
361	 rotate left ninety degrees 	84.0
362	 and move forward seven feet and stop 	84.0
364	move forward about two feet	85.0
365	rotate to your left ninety degrees	85.0
366	move forward about ten feet	85.0
367	rotate to your left	85.0
368	and move forward about two feet	85.0
370	 turn all the way around	86.0
371	or rotate one hundred and eighty degrees 	86.0
372	 move forward about four feet and stop 	86.0
373	 rotate to your left ninety degrees 	86.0
374	 and move forward seven feet and stop 	86.0
376	rotate to your right ninety degrees	87.0
377	move forward about two feet	87.0
378	rotate to your right again	87.0
379	move forward ten feet	87.0
380	rotate to your right again	87.0
381	move forward two feet and stop	87.0
383	move forward about three and a half feet and stop	88.0
385	rotate to your left ninety degrees	89.0
386	go forward about two feet	89.0
387	rotate to your right ninety degrees	89.0
388	go about ten feet	89.0
389	rotate to your right ninety degrees	89.0
390	and go two feet and stop	89.0
392	 turn all the way around or turn one hundred and eighty degrees	90.0
393	so you are facing the other direction 	90.0
394	 and move forward three and a half feet 	90.0
396	rotate to your right ninety degrees	91.0
397	then move forward three and a half feet	91.0
399	rotate to your left ninety degrees	92.0
400	move forward about four feet	92.0
401	rotate to your left again ninety degrees	92.0
402	move forward about seven feet and stop	92.0
404	move forward about four feet	93.0
405	rotate to your left	93.0
406	and move forward again about seven feet and stop	93.0
408	 turn all the way around so you are facing the other direction	94.0
409	or rotate one hundred and eighty degrees 	94.0
410	and then move forward about three and half feet 	94.0
412	 rotate all the way around	95.0
413	so you are facing the other direction one hundred and eighty degrees 	95.0
414	and then move forward three and a half feet 	95.0
416	rotate to your left ninety degrees	96.0
417	move forward about two feet	96.0
418	rotate to your right ninety degrees	96.0
419	move forward about ten feet	96.0
420	rotate to your right again ninety degrees	96.0
421	and move forward two feet and stop	96.0
423	rotate to your left ninety degrees	97.0
424	move forward about two feet	97.0
425	rotate to your right ninety degrees	97.0
426	move forward seven feet and stop	97.0
428	rotate to your right about ninety degrees	98.0
429	move forward two feet	98.0
430	rotate to your right again	98.0
431	move forward at ninety degrees	98.0
432	move forward seven feet and stop	98.0
434	rotate to your left ninety degrees	99.0
435	move forward two feet	99.0
436	rotate to your left ninety degrees	99.0
437	move forward ten feet	99.0
438	rotate to your left ninety degrees	99.0
439	move forward two feet and stop	99.0
441	rotate to your left ninety degrees	100.0
442	move forward two feet	100.0
443	rotate to your right ninety degrees	100.0
444	and move forward seven feet and stop	100.0
446	move forward two feet	101.0
447	rotate to your right	101.0
448	move forward seven feet and stop	101.0
450	move forward about two feet	102.0
451	rotate to your right	102.0
452	move forward about ten feet	102.0
453	rotate to your right ninety degrees	102.0
454	move forward two feet and stop	102.0
456	move forward about two feet	103.0
457	rotate to your left	103.0
458	move forward about ten feet	103.0
459	rotate to your left ninety degrees	103.0
460	move forward about two feet	103.0
462	 turn all the way around so you are facing the other direction	104.0
463	or rotate one hundred eighty degrees 	104.0
464	rotate to your left ninety degrees	104.0
465	move forward seven feet and stop	104.0
467	move forward two feet	105.0
468	rotate to your right ninety degrees	105.0
469	move forward ten feet	105.0
470	rotate to your right ninety degrees	105.0
471	move forward two feet and stop	105.0
473	rotate to your left ninety degrees	106.0
474	move forward three and a half feet and stop	106.0
476	rotate to your right ninety degrees	107.0
477	move forward two feet	107.0
478	rotate to your left ninety degrees	107.0
479	move forward about ten feet	107.0
480	rotate to your left ninety degrees	107.0
481	and move forward two feet and stop	107.0
483	rotate to your left ninety degrees	108.0
484	move forward about three feet	108.0
485	rotate to your left again ninety degrees	108.0
486	move forward seven feet and stop	108.0
488	 turn all the way around so you are facing the other direction	109.0
489	or rotate one hundred and eighty degrees 	109.0
490	move forward about three and a half feet and stop	109.0
492	rotate to your left ninety degrees	110.0
493	move forward about two feet	110.0
494	rotate to your right ninety degrees	110.0
495	move forward about ten feet	110.0
496	rotate to your right	110.0
497	and move forward two feet and stop	110.0
499	 turn all the way around so you are facing the other direction	111.0
500	rotate a hundred and eighty degrees 	111.0
501	move forward about three feet	111.0
502	rotate to your left ninety degrees	111.0
503	and move forward seven feet and stop	111.0
505	rotate to your left ninety degrees	112.0
506	and move forward two feet	112.0
507	rotate to your left again	112.0
508	and move forward about ten feet	112.0
509	rotate to your left ninety degrees	112.0
510	move forward two feet and stop	112.0
512	rotate to your right ninety degrees	113.0
513	move forward three and a half feet and stop	113.0
515	rotate to your right ninety degrees	114.0
516	move two feet	114.0
517	rotate to your right ninety degrees	114.0
518	move seven feet and stop	114.0
520	 turn all the way around so you are facing the opposite direction	115.0
521	or turn one hundred and eighty degrees 	115.0
522	move forward two feet	115.0
523	rotate to your right ninety degrees	115.0
524	move forward seven feet and stop	115.0
526	rotate to your left ninety degrees	116.0
527	move forward three and a half feet and stop	116.0
529	move forward about two feet	117.0
530	rotate to your right ninety degrees	117.0
531	move forward seven feet and stop	117.0
533	 turn all the way around till you are facing the opposite direction	118.0
534	or rotate a hundred eighty degrees 	118.0
535	move forward about two feet	118.0
536	rotate to your right ninety degrees	118.0
537	move forward seven feet and stop	118.0
539	move forward three and a half feet and stop	119.0
541	rotate to your right ninety degrees	120.0
542	move forward about three feet	120.0
543	rotate to your left ninety degrees	120.0
544	move forward seven feet and stop	120.0
546	rotate to your right ninety degrees	121.0
547	move forward three and a half feet and stop	121.0
549	rotate to your right ninety degrees	122.0
550	move forward about two feet	122.0
551	rotate to your right ninety degrees	122.0
552	move forward seven feet and stop	122.0
554	rotate to your left ninety degrees	123.0
555	move forward about two feet	123.0
556	rotate to your right ninety degrees	123.0
557	move forward seven feet and stop	123.0
559	rotate to your right ninety degrees	124.0
560	move forward about two feet	124.0
561	rotate to your right ninety degrees	124.0
562	move forward about ten feet	124.0
563	rotate to your right ninety degrees	124.0
564	move forward two feet and stop	124.0
566	move forward about two feet	125.0
567	rotate to your right ninety degrees	125.0
568	move forward seven feet and stop	125.0
570	rotate to your right	126.0
571	move forward about three feet	126.0
572	rotate to your left	126.0
573	move forward about seven feet and stop	126.0
575	move forward about two feet	127.0
576	rotate to your left ninety degrees	127.0
577	move forward about ten feet	127.0
578	rotate to your left	127.0
579	move forward two feet and stop	127.0
581	rotate anticlockwise by ninety degrees	128.0
582	move straight three and a half feet	128.0
584	rotate clockwise by hundred and eighty degrees	129.0
585	move straight three and a half feet	129.0
587	rotate clockwise by hundred and eighty degrees	130.0
588	move straight ten feet	130.0
590	rotate anticlockwise by ninety degrees	131.0
591	move straight ten feet	131.0
593	move straight three and a half feet	132.0
595	move straight ahead ten feet	133.0
597	rotate anticlockwise by ninety degrees	134.0
598	move straight seven feet	134.0
599	rotate clockwise ninety degrees	134.0
600	move straight ahead three and a half feet	134.0
602	rotate clockwise by hundred and eighty degrees	135.0
603	move straight seven feet	135.0
604	rotate anticlockwise by ninety degrees	135.0
605	move straight ahead three and a half feet	135.0
607	rotate anticlockwise by ninety degrees	136.0
608	move straight three and a half feet	136.0
610	rotate anticlockwise by ninety degrees	137.0
611	move straight seven feet	137.0
612	rotate clockwise ninety degrees	137.0
613	move straight three feet	137.0
615	rotate anticlockwise by ninety degrees	138.0
616	move straight three and a half feet	138.0
618	rotate clockwise by one hundred and eighty degrees	139.0
619	move straight seven feet	139.0
620	rotate anticlockwise ninety degrees	139.0
621	move straight three feet	139.0
623	rotate clockwise by ninety degrees	140.0
624	move straight nine feet	140.0
626	rotate clockwise by ninety degrees	141.0
627	move straight three and a half feet	141.0
629	rotate anticlockwise by ninety degrees	142.0
630	move straight three and a half feet	142.0
632	rotate clockwise by ninety degrees	143.0
633	move straight seven feet	143.0
634	rotate clockwise by ninety degrees	143.0
635	move straight three and a half feet	143.0
637	rotate clockwise by hundred and eighty degrees	144.0
638	move straight seven feet	144.0
639	rotate anticlockwise by ninety degrees	144.0
640	move straight three feet	144.0
642	rotate clockwise hundred and eighty degrees	145.0
643	move straight three and a half feet	145.0
645	rotate clockwise by ninety degrees	146.0
646	move straight seven feet	146.0
647	rotate anticlockwise ninety degrees	146.0
648	move straight three feet	146.0
650	rotate anticlockwise by hundred and eighty degrees	147.0
651	move straight seven feet	147.0
652	rotate anticlockwise by ninety degrees	147.0
653	move straight three feet	147.0
655	move straight ten feet	148.0
657	rotate anticlockwise by one and eighty degrees	149.0
658	move straight three and a half feet	149.0
660	rotate clockwise hundred and eighty degrees	150.0
661	move straight ten feet	150.0
663	rotate clockwise ninety degrees	151.0
664	move straight three and a half feet	151.0
666	rotate anticlockwise ninety degrees	152.0
667	move straight seven feet	152.0
668	rotate clockwise by ninety degrees	152.0
669	move straight three feet	152.0
671	rotate anticlockwise one eighty degrees	153.0
672	move straight three and a half feet	153.0
674	move straight seven feet	154.0
675	rotate clockwise by ninety degrees	154.0
676	move straight three and a half feet	154.0
678	rotate clockwise by ninety degrees	155.0
679	move straight by seven feet	155.0
680	rotate anticlockwise by ninety degrees	155.0
681	move straight by three feet	155.0
683	rotate clockwise by one hundred and eighty degrees	156.0
684	move straight seven feet	156.0
685	rotate anticlockwise by ninety degrees	156.0
686	move straight three feet	156.0
688	rotate clockwise by hundred and eighty degrees	157.0
689	move straight seven feet	157.0
690	rotate clockwise by ninety degrees	157.0
691	move straight three feet	157.0
693	rotate clockwise by hundred and eighty degrees	158.0
694	move straight seven feet	158.0
695	rotate anticlockwise by ninety degrees	158.0
696	move straight three feet	158.0
698	rotate anticlockwise by ninety degrees	159.0
699	move straight seven feet	159.0
700	rotate anticlockwise by ninety degrees	159.0
701	move straight three feet	159.0
703	rotate anticlockwise by ninety degrees	160.0
704	move straight seven feet	160.0
705	rotate anticlockwise by ninety degrees	160.0
706	move straight three feet	160.0
708	rotate anticlockwise by a hundred and eighty degrees	161.0
709	move straight seven feet	161.0
710	rotate clockwise by ninety degrees	161.0
711	move straight three feet	161.0
713	move straight three and a half feet	162.0
715	rotate clockwise by a hundred and eighty degrees	163.0
716	move straight seven feet	163.0
717	rotate clockwise by ninety degrees	163.0
718	move straight three feet	163.0
720	rotate clockwise by a hundred and eighty degrees	164.0
721	move straight seven feet	164.0
722	rotate clockwise by ninety degrees	164.0
723	move straight three and a half feet	164.0
725	rotate clockwise by ninety degrees	165.0
726	move straight three and a half feet	165.0
728	rotate clockwise by ninety degrees	166.0
729	move straight seven feet	166.0
730	rotate anticlockwise by ninety degrees	166.0
731	move straight three feet	166.0
733	rotate anticlockwise by ninety degrees	167.0
734	move straight seven feet	167.0
735	rotate clockwise by ninety degrees	167.0
736	move straight three feet	167.0
738	rotate clockwise by one hundred and eighty degrees	168.0
739	move straight ten feet	168.0
741	rotate clockwise by ninety degrees	169.0
742	move straight ten feet	169.0
744	rotate clockwise by hundred and eighty degrees	170.0
745	move straight seven feet	170.0
746	rotate clockwise by ninety degrees	170.0
747	move straight three feet	170.0
749	rotate clockwise by ninety degrees	171.0
750	move straight seven feet	171.0
751	rotate clockwise by ninety degrees	171.0
752	move straight three feet	171.0
754	move straight ten feet	172.0
756	move straight seven feet	173.0
757	rotate clockwise by ninety degrees	173.0
758	move straight three feet	173.0
760	rotate anticlockwise by ninety degrees	174.0
761	move straight ten feet	174.0
763	move straight three and a half feet	175.0
765	move straight seven feet	176.0
766	rotate anticlockwise by ninety degrees	176.0
767	move straight three and a half feet	176.0
769	rotate clockwise by hundred and eighty degrees	177.0
770	move straight ten feet	177.0
772	rotate anticlockwise by ninety degrees	178.0
773	move straight ten feet	178.0
775	rotate anticlockwise by ninety degrees	179.0
776	move straight seven feet	179.0
777	rotate anticlockwise by ninety degrees	179.0
778	move straight three and a half feet	179.0
780	rotate anticlockwise by ninety degrees	180.0
781	move straight seven feet	180.0
782	rotate clockwise by ninety degrees	180.0
783	move straight three and a half feet	180.0
785	rotate clockwise by ninety degrees	181.0
786	move straight ten feet	181.0
788	move straight three and a half feet	182.0
790	rotate clockwise by ninety degrees	183.0
791	move straight ten feet	183.0
793	move straight seven feet	184.0
794	rotate clockwise by ninety degrees	184.0
795	move straight three and a half feet	184.0
797	rotate clockwise by ninety degrees	185.0
798	move straight seven feet	185.0
799	rotate anticlockwise by ninety degrees	185.0
800	move straight three and a half feet	185.0
802	move straight ten feet	186.0
804	rotate anticlockwise by ninety degrees	187.0
805	move straight seven feet	187.0
806	rotate clockwise by ninety degrees	187.0
807	move straight three and a half feet	187.0
809	rotate anticlockwise by ninety degrees	188.0
810	move straight seven feet	188.0
811	rotate anticlockwise by ninety degrees	188.0
812	move straight three and a half feet	188.0
814	move straight seven feet	189.0
815	rotate clockwise by ninety degrees	189.0
816	move straight three and a half feet	189.0
818	rotate anticlockwise by ninety degrees	190.0
819	move straight three and a half	190.0
821	rotate anticlockwise by ninety degrees	191.0
822	move straight ten feet	191.0
824	move backwards four feet	192.0
825	turn to your right	192.0
826	and move forward seven feet	192.0
828	turn to your right	193.0
829	move forward four feet 	193.0
830	turn right	193.0
831	move forward seven feet	193.0
833	move backward four feet	194.0
834	turn to your left	194.0
835	move forward seven feet	194.0
837	move forward four feet	195.0
838	turn to your left	195.0
839	move forward seven feet	195.0
841	move forward one foot	196.0
842	turn to your left	196.0
843	move forward nine feet	196.0
844	turn to your left	196.0
845	move forward one foot	196.0
847	move backward three and a half feet	197.0
849	turn to your right	198.0
850	move forward three feet	198.0
851	turn to your left	198.0
852	move forward teh ten seven feet	198.0
854	turn to your right	199.0
855	move forward three and a half feet	199.0
857	move backward three feet	200.0
858	turn to your left	200.0
859	move forward seven feet	200.0
861	move backward three feet	201.0
862	turn to your left	201.0
863	move forward seven feet	201.0
865	move backward three feet	202.0
866	turn left	202.0
867	move forward seven feet	202.0
869	turn to your left	203.0
870	move forward one foot	203.0
871	turn to your left again	203.0
872	move forward ten feet 	203.0
873	turn  to your right	203.0
874	and  move forward one foot	203.0
876	move forward one foot	204.0
877	turn to your left	204.0
878	move forward ten feet 	204.0
879	 turn to your left	204.0
880	move forward one foot	204.0
882	move forward three and a half feet	205.0
884	turn to your left	206.0
885	move forward  three three and a half feet	206.0
886	turn to your left again 	206.0
887	move forward seven feet	206.0
889	turn to your left	207.0
890	move forward three and a half feet	207.0
892	turn to your right	208.0
893	move forward one foot	208.0
894	turn to your left	208.0
895	move forward ten feet	208.0
896	turn to your left again	208.0
897	move forward one foot	208.0
899	turn to your right	209.0
900	move forward three and a half feet	209.0
902	turn to your right	210.0
903	move forward three feet	210.0
904	turn to your left	210.0
905	move forward  seven feet	210.0
907	turn to your right	211.0
908	move one foot forward	211.0
909	Turn to your left	211.0
910	move ten feet forward	211.0
911	turn to your left	211.0
912	move one foot forward	211.0
914	move forward three feet	212.0
915	turn right 	212.0
916	move ten feet forward	212.0
918	turn to your left	213.0
919	move three and a half feet forward	213.0
921	turn to your left	214.0
922	move three feet forward	214.0
923	turn to your left again	214.0
924	move seven feet forward	214.0
926	turn to your left	215.0
927	move one foot forward	215.0
928	turn to your left again	215.0
929	move ten feet forward	215.0
930	turn to your left again	215.0
931	move one foot forward	215.0
933	turn to your right	216.0
934	move one foot forward	216.0
935	turn to your left	216.0
936	move ten feet forward	216.0
937	turn to your left	216.0
938	move one foot forward	216.0
940	turn to your left	217.0
941	move three feet forward	217.0
942	turn to your right	217.0
943	move seven feet forward	217.0
945	turn to your left	218.0
946	move three feet forward	218.0
947	turn to your right	218.0
948	move seven feet forward	218.0
950	turn to your right	219.0
951	move three feet forward	219.0
952	turn to your right again	219.0
953	move seven feet forward	219.0
955	move forward three feet	220.0
956	turn to your left	220.0
957	move seven feet forward	220.0
959	turn to your left	221.0
960	move three feet forward	221.0
961	turn to your right	221.0
962	move seven feet forward	221.0
964	turn to your right	222.0
965	move three feet forward	222.0
966	turn to your left	222.0
967	move seven feet forward	222.0
969	move backwards one foot	223.0
970	turn to your right	223.0
971	move ten feet forward	223.0
972	turn to your left	223.0
973	move one foot forward	223.0
975	move backwards three feet	224.0
976	turn right	224.0
977	move forward seven feet	224.0
979	turn right	225.0
980	move forward three and a half feet	225.0
982	turn right	226.0
983	move one foot forward	226.0
984	turn to your left	226.0
985	move ten feet forward	226.0
986	turn to your left again	226.0
987	move one foot forward	226.0
989	turn to your left	227.0
990	move three and a half feet forward	227.0
992	move backward one foot	228.0
993	turn to your right	228.0
994	move ten feet forward	228.0
995	turn to your left	228.0
996	move one foot forward	228.0
998	turn to your left	229.0
999	move three feet forward	229.0
1000	turn to your left again	229.0
1001	move seven  feet forward	229.0
1003	move backwards three and a half feet	230.0
1005	move forwards three feet	231.0
1006	turn right	231.0
1007	move forwards ten feet	231.0
1009	move forward three and a half feet	232.0
1011	move backwards three and a half feet	233.0
1013	move forward one foot	234.0
1014	turn to your left	234.0
1015	move forward ten feet	234.0
1016	turn to your left again	234.0
1017	move  forward one foot	234.0
1019	turn to your right	235.0
1020	move three feet forward	235.0
1021	turn to your right again	235.0
1022	move seven feet forward	235.0
1024	turn to your left	236.0
1025	move forward one foot	236.0
1026	turn to your left again	236.0
1027	move forward ten feet	236.0
1028	turn to your left again	236.0
1029	move forward one foot	236.0
1031	move forward three and a half feet	237.0
1033	turn to your left	238.0
1034	move three feet forward	238.0
1035	turn to your right	238.0
1036	move seven feet forward	238.0
1038	move forward three feet	239.0
1039	turn to your right	239.0
1040	move forward seven feet	239.0
1042	move backwards three feet	240.0
1043	turn to your right	240.0
1044	move forward seven feet	240.0
1046	turn to your left	241.0
1047	move forward one foot	241.0
1048	turn to your left again	241.0
1049	move forward ten feet	241.0
1050		241.0
1051	turn to your left one more time	241.0
1052	move forward one foot	241.0
1054	turn to your right	242.0
1055	move three feet forward	242.0
1056	turn to your left	242.0
1057	move seven feet forward	242.0
1059	move three and a half feet forward	243.0
1061	move backwards one foot	244.0
1062	turn to your right	244.0
1063	move ten feet forward	244.0
1064	turn to your left	244.0
1065	move one foot forward	244.0
1067	move three feet forward	245.0
1068	turn to your right	245.0
1069	move seven feet forward	245.0
1071	turn to your left	246.0
1072	move th three three and a half feet forward	246.0
1074	move three feet forward	247.0
1075	turn your left	247.0
1076	move seven feet forward	247.0
1078	move one foot forward	248.0
1079	turn to your left	248.0
1080	move ten feet forward	248.0
1081	turn to your left again	248.0
1082	move one foot forward	248.0
1084		249.0
1085	move backwards one foot	249.0
1086	turn to your right	249.0
1087	move ten feet forward	249.0
1088	turn to your left	249.0
1089	move one foot forward	249.0
1091	move backwards three feet	250.0
1092	turn to your right	250.0
1093	move forward seven feet	250.0
1095	turn to your right	251.0
1096	move three feet forward	251.0
1097	turn to your right again	251.0
1098	move seven feet forward	251.0
1100	move forward three feet	252.0
1101	turn to your left	252.0
1102	move seven feet forward	252.0
1104	turn to your left	253.0
1105	move three feet forward	253.0
1106	turn to your left again	253.0
1107	move seven feet forward	253.0
1109	turn to your right	254.0
1110	move three and a half feet forward	254.0
1112	move backwards three and a half feet	255.0
1114	turn by an angle of like forty five degrees	256.0
1115	and then walk straight	256.0
1116	and you will reach your destination thats the proper spot over there	256.0
1118	walk two three steps ahead	257.0
1119	and then take a right turn	257.0
1120	after you reach near aki	257.0
1121	take three four more steps more	257.0
1122	and then again take a turn towards your right	257.0
1123	and then walk straight you reach the destination	257.0
1125	turn by an angle of ninety degrees towards your right	258.0
1126	and then walk few steps and you will reach the destination	258.0
1128	turn by an angle of one thirty five degrees towards your right	259.0
1129	and then walk straight you will reach the proper spot that is the destination	259.0
1131	turn by an angle of one thirty five degrees toward your left	260.0
1132	and then walk straight towards on the diagonal and you will reach the destination	260.0
1134	turn by an angle of one thirty five degrees towards your left	261.0
1135	and then walk straight that is on the diagonal and you will reach the destination	261.0
1137	turn by an angle of ninety degrees towards your left	262.0
1138	and then walk straight	262.0
1140	turn by an angle of ninety degrees towards your left	263.0
1141	walk a few steps straight ahead	263.0
1142	then again take a turn towards your left	263.0
1143	walk straight till you pass aki and after a few steps youve passed aki	263.0
1144	take a turn to left again	263.0
1145	and walk straight you will reach the destination	263.0
1147	take a turn of forty five degrees towards your left	264.0
1148	and then walk straight across the diagonal you will reach the destination	264.0
1150	take a turn of one thirty five degrees towards your right	265.0
1151	and then walk straight across the diagonal you will reach the destination	265.0
1153	take a turn of forty five degrees towards your right	266.0
1154	and then walk straight across the diagonal you will reach the destination which is the purple spot	266.0
1156	take a turn of one thirty five degree angles towards your left	267.0
