trans_info	Unnamed: 2	instruction_segment	instruction_segment.1	Instruction	Instruction2
15	a16.trans	 move seven feet 	move seven feet	 move seven feet 	[' move seven feet ']
16	a17.trans	 mok move four feet back 	mok move four feet back	 mok move four feet back 	[' mok move four feet back ']
16	a17.trans	 turn right 	turn right	 turn right 	[' turn right ']
16	a17.trans	 move seven feet 	move seven feet	 move seven feet 	[' move seven feet ']
17	a18.trans	 mok move two feet up 	mok move two feet up	 mok move two feet up 	[' mok move two feet up ']
17	a18.trans	 turn right 	turn right	 turn right 	[' turn right ']
17	a18.trans	 move seven feet 	move seven feet	 move seven feet 	[' move seven feet ']
18	a19.trans	 mok turn left 	mok turn left	 mok turn left 	[' mok turn left ']
18	a19.trans	 move three feet up 	move three feet up	 move three feet up 	[' move three feet up ']
19	a20.trans	 mok turn right 	mok turn right	 mok turn right 	[' mok turn right ']
19	a20.trans	 move two feet up 	move two feet up	 move two feet up 	[' move two feet up ']
19	a20.trans	 turn right 	turn right	 turn right 	[' turn right ']
19	a20.trans	 move seven feet 	move seven feet	 move seven feet 	[' move seven feet ']
					
20	a21.trans	 mok move four feet up 	mok move four feet up	 mok move four feet up 	[' mok move four feet up ']
20	a21.trans	 turn left 	turn left	 turn left 	[' turn left ']
20	a21.trans	 move seven feet 	move seven feet	 move seven feet 	[' move seven feet ']
					
21	a22.trans	 mok turn right 	mok turn right	 mok turn right 	[' mok turn right ']
21	a22.trans	 move four feet 	move four feet	 move four feet 	[' move four feet ']
21	a22.trans	 turn left 	turn left	 turn left 	[' turn left ']
21	a22.trans	 move seven feet 	move seven feet	 move seven feet 	[' move seven feet ']
					
22	a23.trans	 mok turn left 	mok turn left	 mok turn left 	[' mok turn left ']
22	a23.trans	 move two feet up 	move two feet up	 move two feet up 	[' move two feet up ']
22	a23.trans	 turn right 	turn right	 turn right 	[' turn right ']
22	a23.trans	 move eleven feet 	move eleven feet	 move eleven feet 	[' move eleven feet ']
22	a23.trans	 turn right 	turn right	 turn right 	[' turn right ']
22	a23.trans	 move two feet 	move two feet	 move two feet 	[' move two feet ']
22	a23.trans				
23	a24.trans	 mok turn left 	mok turn left	 mok turn left 	[' mok turn left ']
23	a24.trans	 move two feet up 	move two feet up	 move two feet up 	[' move two feet up ']
23	a24.trans	 turn right 	turn right	 turn right 	[' turn right ']
23	a24.trans	 move seven feet 	move seven feet	 move seven feet 	[' move seven feet ']
23	a24.trans				
24	a25.trans	 mok turn left 	mok turn left	 mok turn left 	[' mok turn left ']
24	a25.trans	 move three feet 	move three feet	 move three feet 	[' move three feet ']
24	a25.trans				
25	a26.trans	 mok move up a foot 	mok move up a foot	 mok move up a foot 	[' mok move up a foot ']
25	a26.trans	 turn left 	turn left	 turn left 	[' turn left ']
25	a26.trans	 move eleven feet 	move eleven feet	 move eleven feet 	[' move eleven feet ']
25	a26.trans	 turn left 	turn left	 turn left 	[' turn left ']
25	a26.trans	 move a foot 	move a foot	 move a foot 	[' move a foot ']
25	a26.trans				
26	a27.trans	 mok move four feet up 	mok move four feet up	 mok move four feet up 	[' mok move four feet up ']
26	a27.trans	 turn left 	turn left	 turn left 	[' turn left ']
26	a27.trans	 move seven feet 	move seven feet	 move seven feet 	[' move seven feet ']
26	a27.trans				
27	a28.trans	 mok turn right 	mok turn right	 mok turn right 	[' mok turn right ']
27	a28.trans	 move four feet up 	move four feet up	 move four feet up 	[' move four feet up ']
27	a28.trans	 turn left 	turn left	 turn left 	[' turn left ']
27	a28.trans	 move seven feet 	move seven feet	 move seven feet 	[' move seven feet ']
27	a28.trans				
28	a29.trans	 mok turn left 	mok turn left	 mok turn left 	[' mok turn left ']
28	a29.trans	 move a foot 	move a foot	 move a foot 	[' move a foot ']
28	a29.trans	 turn right 	turn right	 turn right 	[' turn right ']
28	a29.trans	 move eleven feet 	move eleven feet	 move eleven feet 	[' move eleven feet ']
28	a29.trans	 turn left 	turn left	 turn left 	[' turn left ']
28	a29.trans	 move a foot up 	move a foot up	 move a foot up 	[' move a foot up ']
28	a29.trans				
29	a30.trans	 mok turn right 	mok turn right	 mok turn right 	[' mok turn right ']
29	a30.trans	 move up a foot 	move up a foot	 move up a foot 	[' move up a foot ']
29	a30.trans	 turn right 	turn right	 turn right 	[' turn right ']
29	a30.trans	 move eleven feet 	move eleven feet	 move eleven feet 	[' move eleven feet ']
29	a30.trans	 turn right 	turn right	 turn right 	[' turn right ']
29	a30.trans	 move a foot 	move a foot	 move a foot 	[' move a foot ']
29	a30.trans				
30	a31.trans	 mok turn right 	mok turn right	 mok turn right 	[' mok turn right ']
30	a31.trans	 move four feet up 	move four feet up	 move four feet up 	[' move four feet up ']
30	a31.trans	 turn left 	turn left	 turn left 	[' turn left ']
30	a31.trans	 move seven feet 	move seven feet	 move seven feet 	[' move seven feet ']
30	a31.trans				
31	a32.trans	 mok move up four feet 	mok move up four feet	 mok move up four feet 	[' mok move up four feet ']
31	a32.trans	 turn left 	turn left	 turn left 	[' turn left ']
31	a32.trans	 move seven feet 	move seven feet	 move seven feet 	[' move seven feet ']
31	a32.trans				
32	a33.trans	 mok turn right 	mok turn right	 mok turn right 	[' mok turn right ']
32	a33.trans	 move three feet up 	move three feet up	 move three feet up 	[' move three feet up ']
32	a33.trans				
33	a34.trans	 mok turn left 	mok turn left	 mok turn left 	[' mok turn left ']
33	a34.trans	 move up two feet 	move up two feet	 move up two feet 	[' move up two feet ']
33	a34.trans	 turn right 	turn right	 turn right 	[' turn right ']
33	a34.trans	 move eleven feet 	move eleven feet	 move eleven feet 	[' move eleven feet ']
33	a34.trans	 turn right 	turn right	 turn right 	[' turn right ']
33	a34.trans	 move two feet down 	move two feet down	 move two feet down 	[' move two feet down ']
33	a34.trans				
34	a35.trans	 mok move three feet up 	mok move three feet up	 mok move three feet up 	[' mok move three feet up ']
34	a35.trans				
35	a36.trans	 mok move two feet back 	mok move two feet back	 mok move two feet back 	[' mok move two feet back ']
35	a36.trans	 turn left 	turn left	 turn left 	[' turn left ']
35	a36.trans	 move seven feet up 	move seven feet up	 move seven feet up 	[' move seven feet up ']
35	a36.trans				
36	a37.trans	 mok turn right 	mok turn right	 mok turn right 	[' mok turn right ']
36	a37.trans	 move three feet up 	move three feet up	 move three feet up 	[' move three feet up ']
36	a37.trans				
37	a38.trans	 mok turn left 	mok turn left	 mok turn left 	[' mok turn left ']
37	a38.trans	 move two feet up 	move two feet up	 move two feet up 	[' move two feet up ']
37	a38.trans	 turn left 	turn left	 turn left 	[' turn left ']
37	a38.trans	 move eleven feet 	move eleven feet	 move eleven feet 	[' move eleven feet ']
37	a38.trans	 turn left 	turn left	 turn left 	[' turn left ']
37	a38.trans	 move up two feet 	move up two feet	 move up two feet 	[' move up two feet ']
37	a38.trans				
38	a39.trans	 mok move two feet up 	mok move two feet up	 mok move two feet up 	[' mok move two feet up ']
38	a39.trans	 turn right 	turn right	 turn right 	[' turn right ']
38	a39.trans	 move eleven feet 	move eleven feet	 move eleven feet 	[' move eleven feet ']
38	a39.trans	 turn right 	turn right	 turn right 	[' turn right ']
38	a39.trans	 move two feet forward 	move two feet forward	 move two feet forward 	[' move two feet forward ']
38	a39.trans				
39	a40.trans	 mok move two feet back 	mok move two feet back	 mok move two feet back 	[' mok move two feet back ']
39	a40.trans	 turn left 	turn left	 turn left 	[' turn left ']
39	a40.trans	 move seven feet forward 	move seven feet forward	 move seven feet forward 	[' move seven feet forward ']
39	a40.trans				
40	a41.trans	 mok turn right 	mok turn right	 mok turn right 	[' mok turn right ']
40	a41.trans	 move three feet forward 	move three feet forward	 move three feet forward 	[' move three feet forward ']
40	a41.trans				
41	a42.trans	 mok move two feet up 	mok move two feet up	 mok move two feet up 	[' mok move two feet up ']
41	a42.trans	 turn right 	turn right	 turn right 	[' turn right ']
41	a42.trans	 move eleven feet 	move eleven feet	 move eleven feet 	[' move eleven feet ']
41	a42.trans	 turn right 	turn right	 turn right 	[' turn right ']
41	a42.trans	 move two feet 	move two feet	 move two feet 	[' move two feet ']
41	a42.trans				
42	a43.trans	 mok move four feet backwards 	mok move four feet backwards	 mok move four feet backwards 	[' mok move four feet backwards ']
42	a43.trans	 turn right 	turn right	 turn right 	[' turn right ']
42	a43.trans	 move seven feet 	move seven feet	 move seven feet 	[' move seven feet ']
42	a43.trans				
43	a44.trans	 mok turn right 	mok turn right	 mok turn right 	[' mok turn right ']
43	a44.trans	 move two feet forward 	move two feet forward	 move two feet forward 	[' move two feet forward ']
43	a44.trans	 turn right 	turn right	 turn right 	[' turn right ']
43	a44.trans	 move seven feet 	move seven feet	 move seven feet 	[' move seven feet ']
43	a44.trans				
44	a45.trans	 mok turn right 	mok turn right	 mok turn right 	[' mok turn right ']
44	a45.trans	 move three feet forward 	move three feet forward	 move three feet forward 	[' move three feet forward ']
44	a45.trans				
45	a46.trans	 mok turn left 	mok turn left	 mok turn left 	[' mok turn left ']
45	a46.trans	 move two feet forward 	move two feet forward	 move two feet forward 	[' move two feet forward ']
45	a46.trans	 turn right 	turn right	 turn right 	[' turn right ']
45	a46.trans	 move eleven feet 	move eleven feet	 move eleven feet 	[' move eleven feet ']
45	a46.trans	 turn right 	turn right	 turn right 	[' turn right ']
45	a46.trans	 move two feet 	move two feet	 move two feet 	[' move two feet ']
45	a46.trans				
46	a47.trans	 mok move four feet forward 	mok move four feet forward	 mok move four feet forward 	[' mok move four feet forward ']
46	a47.trans	 turn left 	turn left	 turn left 	[' turn left ']
46	a47.trans	 move seven feet 	move seven feet	 move seven feet 	[' move seven feet ']
46	a47.trans				
47	a48.trans	 mok move two feet backwards 	mok move two feet backwards	 mok move two feet backwards 	[' mok move two feet backwards ']
47	a48.trans	 turn left 	turn left	 turn left 	[' turn left ']
47	a48.trans	 move seven feet 	move seven feet	 move seven feet 	[' move seven feet ']
47	a48.trans				
48	a49.trans	 mok move backwards a foot 	mok move backwards a foot	 mok move backwards a foot 	[' mok move backwards a foot ']
48	a49.trans	 turn right 	turn right	 turn right 	[' turn right ']
48	a49.trans	 move eleven feet 	move eleven feet	 move eleven feet 	[' move eleven feet ']
48	a49.trans	 turn left 	turn left	 turn left 	[' turn left ']
48	a49.trans	 and move a foot 	and move a foot	 and move a foot 	[' and move a foot ']
48	a49.trans				
49	a50.trans	 mok move two feet up 	mok move two feet up	 mok move two feet up 	[' mok move two feet up ']
49	a50.trans	 turn right 	turn right	 turn right 	[' turn right ']
49	a50.trans	 move seven feet 	move seven feet	 move seven feet 	[' move seven feet ']
49	a50.trans				
50	a51.trans	 mok turn left 	mok turn left	 mok turn left 	[' mok turn left ']
50	a51.trans	 move two feet up 	move two feet up	 move two feet up 	[' move two feet up ']
50	a51.trans	 turn left no turn right 	turn left no turn right	 turn left no turn right 	[' turn left no turn right ']
50	a51.trans	 move seven feet forward 	move seven feet forward	 move seven feet forward 	[' move seven feet forward ']
50	a51.trans				
51	a52.trans	 mok turn left 	mok turn left	 mok turn left 	[' mok turn left ']
51	a52.trans	 move three feet forward 	move three feet forward	 move three feet forward 	[' move three feet forward ']
51	a52.trans				
52	a53.trans	 mok turn left 	mok turn left	 mok turn left 	[' mok turn left ']
52	a53.trans	 move two feet up 	move two feet up	 move two feet up 	[' move two feet up ']
52	a53.trans	 turn right 	turn right	 turn right 	[' turn right ']
52	a53.trans	 move seven feet forward 	move seven feet forward	 move seven feet forward 	[' move seven feet forward ']
52	a53.trans				
53	a54.trans	 mok move three feet forward 	mok move three feet forward	 mok move three feet forward 	[' mok move three feet forward ']
53	a54.trans				
54	a55.trans	 mok turn left 	mok turn left	 mok turn left 	[' mok turn left ']
54	a55.trans	 move four feet forward 	move four feet forward	 move four feet forward 	[' move four feet forward ']
54	a55.trans	 turn left 	turn left	 turn left 	[' turn left ']
54	a55.trans	 move seven feet 	move seven feet	 move seven feet 	[' move seven feet ']
54	a55.trans				
55	a56.trans	 mok go back four feet 	mok go back four feet	 mok go back four feet 	[' mok go back four feet ']
55	a56.trans	 turn right 	turn right	 turn right 	[' turn right ']
55	a56.trans	 move seven feet 	move seven feet	 move seven feet 	[' move seven feet ']
55	a56.trans				
56	a57.trans	 mok turn left 	mok turn left	 mok turn left 	[' mok turn left ']
56	a57.trans	 move four feet up 	move four feet up	 move four feet up 	[' move four feet up ']
56	a57.trans	 turn left 	turn left	 turn left 	[' turn left ']
56	a57.trans	 move seven feet 	move seven feet	 move seven feet 	[' move seven feet ']
56	a57.trans				
57	a58.trans	 mok turn right 	mok turn right	 mok turn right 	[' mok turn right ']
57	a58.trans	 move two feet up 	move two feet up	 move two feet up 	[' move two feet up ']
57	a58.trans	 turn right 	turn right	 turn right 	[' turn right ']
57	a58.trans	 move eleven feet 	move eleven feet	 move eleven feet 	[' move eleven feet ']
57	a58.trans	 turn right 	turn right	 turn right 	[' turn right ']
57	a58.trans	 move two feet 	move two feet	 move two feet 	[' move two feet ']
57	a58.trans				
58	a59.trans	 mok move two feet back 	mok move two feet back	 mok move two feet back 	[' mok move two feet back ']
58	a59.trans	 turn left 	turn left	 turn left 	[' turn left ']
58	a59.trans	 move eleven feet 	move eleven feet	 move eleven feet 	[' move eleven feet ']
58	a59.trans	 turn right 	turn right	 turn right 	[' turn right ']
58	a59.trans	 move two feet 	move two feet	 move two feet 	[' move two feet ']
58	a59.trans				
59	a60.trans	 mok turn left 	mok turn left	 mok turn left 	[' mok turn left ']
59	a60.trans	 move three feet forward 	move three feet forward	 move three feet forward 	[' move three feet forward ']
59	a60.trans				
60	a61.trans	 mok move forward 	mok move forward	 mok move forward 	[' mok move forward ']
60	a61.trans	 turn left 	turn left	 turn left 	[' turn left ']
60	a61.trans	 move eleven feet 	move eleven feet	 move eleven feet 	[' move eleven feet ']
60	a61.trans	 turn left 	turn left	 turn left 	[' turn left ']
60	a61.trans	 move a foot 	move a foot	 move a foot 	[' move a foot ']
60	a61.trans				
61	a62.trans	 mok turn right 	mok turn right	 mok turn right 	[' mok turn right ']
61	a62.trans	 move four feet 	move four feet	 move four feet 	[' move four feet ']
61	a62.trans	 turn right 	turn right	 turn right 	[' turn right ']
61	a62.trans	 move seven feet 	move seven feet	 move seven feet 	[' move seven feet ']
61	a62.trans				
62	a63.trans	 mok turn around 	mok turn around	 mok turn around 	[' mok turn around ']
62	a63.trans	 move three feet 	move three feet	 move three feet 	[' move three feet ']
62	a63.trans				
63	a64.trans	 mok go back two feet 	mok go back two feet	 mok go back two feet 	[' mok go back two feet ']
63	a64.trans	 turn left 	turn left	 turn left 	[' turn left ']
63	a64.trans	 move eleven feet 	move eleven feet	 move eleven feet 	[' move eleven feet ']
63	a64.trans	 turn right 	turn right	 turn right 	[' turn right ']
63	a64.trans	 move two feet forward 	move two feet forward	 move two feet forward 	[' move two feet forward ']
63	a64.trans				
64	a01.trans	 move ahead two feet 	move ahead two feet	 move ahead two feet 	[' move ahead two feet ']
64	a01.trans	 turn to your right 	turn to your right	 turn to your right 	[' turn to your right ']
64	a01.trans	 move ahead seven feet 	move ahead seven feet	 move ahead seven feet 	[' move ahead seven feet ']
64	a01.trans				
65	a02.trans	 turn left 	turn left	 turn left 	[' turn left ']
65	a02.trans	 move till you are facing your directly in front  	move till you are facing your directly in front	 move till you are facing your directly in front  	[' move till you are facing your directly in front  ']
65	a02.trans	or aki is directly in front of you	or aki is directly in front of you	or aki is directly in front of you	['or aki is directly in front of you']
65	a02.trans	 turn left 	turn left	 turn left 	[' turn left ']
65	a02.trans	 move ahead two feet 	move ahead two feet	 move ahead two feet 	[' move ahead two feet ']
65	a02.trans	 take a right 	take a right	 take a right 	[' take a right ']
65	a02.trans	 and move ahead just one foot 	and move ahead just one foot	 and move ahead just one foot 	[' and move ahead just one foot ']
65	a02.trans				
66	a03.trans	 move forward about three and a half feet 	move forward about three and a half feet	 move forward about three and a half feet 	[' move forward about three and a half feet ']
66	a03.trans				
67	a04.trans	 move forward about six feet 	move forward about six feet	 move forward about six feet 	[' move forward about six feet ']
67	a04.trans	 turn left 	turn left	 turn left 	[' turn left ']
67	a04.trans	 and then move forward again about seven feet 	and then move forward again about seven feet	and then move forward again about seven feet 	['and then move forward again about seven feet ']
67	a04.trans				
68	a05.trans	 rotate to your right 	rotate to your right	 rotate to your right 	[' rotate to your right ']
68	a05.trans	 move forward about five feet 	move forward about five feet	 move forward about five feet 	[' move forward about five feet ']
68	a05.trans	 rotate again to your left 	rotate again to your left	 rotate again to your left 	[' rotate again to your left ']
68	a05.trans	 and move forward about seven feet 	and move forward about seven feet	 and move forward about seven feet 	[' and move forward about seven feet ']
68	a05.trans				
69	a06.trans	 move forward about two feet 	move forward about two feet	 move forward about two feet 	[' move forward about two feet ']
69	a06.trans	 rotate to your right 	rotate to your right	 rotate to your right 	[' rotate to your right ']
69	a06.trans	 move forward about ten feet 	move forward about ten feet	 move forward about ten feet 	[' move forward about ten feet ']
69	a06.trans	 rotate again to your right 	rotate again to your right	 rotate again to your right 	[' rotate again to your right ']
69	a06.trans	 and then move again two feet 	and then move again two feet	and then move again two feet 	['and then move again two feet ']
70	a07.trans	 turn all the way around 	turn all the way around you are facing the other direction	 turn all the way around you are facing the other direction	[' turn all the way around you are facing the other direction']
70		you are facing the other direction			
70	a07.trans	 or that is turn one hundred and eighty degrees 	or that is turn one hundred and eighty degrees	 or that is turn one hundred and eighty degrees 	[' or that is turn one hundred and eighty degrees ']
71	a07.trans	 move about two feet 	move about two feet	 move about two feet 	[' move about two feet ']
71	a07.trans	 rotate again to your right 	rotate again to your right	 rotate again to your right 	[' rotate again to your right ']
71	a07.trans	 move about seven feet 	move about seven feet	 move about seven feet 	[' move about seven feet ']
71	a08.trans	 rotate to your left 	rotate to your left	 rotate to your left 	[' rotate to your left ']
71	a08.trans	 then move forward about three or four feet four feet 	then move forward about three or four feet four feet	and then move forward about three or four feet four feet 	['and then move forward about three or four feet four feet ']
72	a08.trans	 rotate to your left 	rotate to your left	 rotate to your left 	[' rotate to your left ']
72	a08.trans	 move seven feet forwards 	move seven feet forwards	 move seven feet forwards 	[' move seven feet forwards ']
	a08.trans				
73	a09.trans	 move forward about two feet 	move forward about two feet	move forward about two feet 	['move forward about two feet ']
73	a09.trans	 then rotate to your right 	then rotate to your right	and then rotate to your right 	['and then rotate to your right ']
73	a09.trans	 then move forward about ten feet 	then move forward about ten feet	and then move forward about ten feet 	['and then move forward about ten feet ']
73	a09.trans	 then rotate to your right again 	then rotate to your right again	and then rotate to your right again 	['and then rotate to your right again ']
73	a09.trans	 and move forward about two feet 	and move forward about two feet	 and move forward about two feet 	[' and move forward about two feet ']
					
74	a10.trans	 rotate to your left 	rotate to your left	 rotate to your left 	[' rotate to your left ']
74	a10.trans	 then move forward about three and a half feet 	then move forward about three and a half feet	and then move forward about three and a half feet 	['and then move forward about three and a half feet ']
					
75	a11.trans	 move forward about four feet 	move forward about four feet	 move forward about four feet 	[' move forward about four feet ']
75	a11.trans	 then rotate to your left 	then rotate to your left	and then rotate to your left 	['and then rotate to your left ']
75	a11.trans	 then move forward about seven feet 	then move forward about seven feet	and then move forward about seven feet 	['and then move forward about seven feet ']
74	a11.trans				
76	a12.trans	 rotate to your right 	rotate to your right	 rotate to your right 	[' rotate to your right ']
76	a12.trans	 then move forward about four feet 	then move forward about four feet	and then move forward about four feet 	['and then move forward about four feet ']
76	a12.trans	 then rotate to your left 	then rotate to your left	and then rotate to your left 	['and then rotate to your left ']
76	a12.trans	 and move about seven feet stop 	and move about seven feet stop	 and move about seven feet stop 	[' and move about seven feet stop ']
					
77	a13.trans	 move forward about three and a half feet and stop 	move forward about three and a half feet and stop	 move forward about three and a half feet and stop 	[' move forward about three and a half feet and stop ']
77	a14.trans	 rotate to your left 	rotate to your left	 rotate to your left 	[' rotate to your left ']
77	a14.trans	 move forward about four feet 	move forward about four feet	 move forward about four feet 	[' move forward about four feet ']
77	a14.trans	 then rotate to your left again 	then rotate to your left again	and then rotate to your left again 	['and then rotate to your left again ']
77	a14.trans	 and move forward about seven feet and stop 	and move forward about seven feet and stop	 and move forward about seven feet and stop 	[' and move forward about seven feet and stop ']
					
78	a15.trans	 rotate ninety degrees to your right 	rotate ninety degrees to your right	 rotate ninety degrees to your right 	[' rotate ninety degrees to your right ']
78	a15.trans	 move forward about two feet 	move forward about two feet	 move forward about two feet 	[' move forward about two feet ']
78	a15.trans	 rotate again to your right ninety degrees 	rotate again to your right ninety degrees	 rotate again to your right ninety degrees 	[' rotate again to your right ninety degrees ']
78	a15.trans	 move forward about seven feet and stop 	move forward about seven feet and stop	 move forward about seven feet and stop 	[' move forward about seven feet and stop ']
					
79	a16.trans	 rotate to your left about ninety degrees 	rotate to your left about ninety degrees	 rotate to your left about ninety degrees 	[' rotate to your left about ninety degrees ']
79	a16.trans	 move forward three and a half feet and stop 	move forward three and a half feet and stop	 move forward three and a half feet and stop 	[' move forward three and a half feet and stop ']
					
80	a17.trans	 rotate about ninety degrees to your right 	rotate about ninety degrees to your right	 rotate about ninety degrees to your right 	[' rotate about ninety degrees to your right ']
80	a17.trans	 move forward three and a half feet and stop 	move forward three and a half feet and stop	 move forward three and a half feet and stop 	[' move forward three and a half feet and stop ']
80	a17.trans				
81	a18.trans	 move forward about four feet and stop 	move forward about four feet and stop	 move forward about four feet and stop 	[' move forward about four feet and stop ']
81	a18.trans	 rotate to your left ninety degrees 	rotate to your left ninety degrees	 rotate to your left ninety degrees 	[' rotate to your left ninety degrees ']
81	a18.trans	 then move forward seven feet and stop 	then move forward seven feet and stop	and then move forward seven feet and stop 	['and then move forward seven feet and stop ']
81	a18.trans				
82	a19.trans	 move forward about two feet 	move forward about two feet	 move forward about two feet 	[' move forward about two feet ']
82	a19.trans	 then rotate to your left 	then rotate to your left	and then rotate to your left 	['and then rotate to your left ']
82	a19.trans	 move forward about ten feet 	move forward about ten feet	 move forward about ten feet 	[' move forward about ten feet ']
82	a19.trans	 rotate to your left again ninety degrees 	rotate to your left again ninety degrees	 rotate to your left again ninety degrees 	[' rotate to your left again ninety degrees ']
82	a19.trans	 move forward two feet and stop 	move forward two feet and stop	 move forward two feet and stop 	[' move forward two feet and stop ']
					
83	a20.trans	 rotate about ninety degrees to your left 	rotate about ninety degrees to your left	 rotate about ninety degrees to your left 	[' rotate about ninety degrees to your left ']
83	a20.trans	 move forward about two feet 	move forward about two feet	 move forward about two feet 	[' move forward about two feet ']
83	a20.trans	 rotate ninety degrees to your right 	rotate ninety degrees to your right	 rotate ninety degrees to your right 	[' rotate ninety degrees to your right ']
83	a20.trans	 move forward about seven feet and stop 	move forward about seven feet and stop	 move forward about seven feet and stop 	[' move forward about seven feet and stop ']
					
84	a21.trans	[' turn all the way around so you are facing the other direction 	turn all the way around so you are facing the other direction or rotate one hundred and eighty degrees	 turn all the way around so you are facing the other direction or rotate one hundred and eighty degrees 	[' turn all the way around so you are facing the other direction 
84		or rotate one hundred and eighty degrees ']			or rotate one hundred and eighty degrees ']
84	a21.trans	[' move forward about four feet and stop ']	move forward about four feet and stop	 move forward about four feet and stop 	[' move forward about four feet and stop ']
84	a21.trans	[' rotate left ninety degrees ']	rotate left ninety degrees	 rotate left ninety degrees 	[' rotate left ninety degrees ']
84	a21.trans	[' and move forward seven feet and stop ']	and move forward seven feet and stop	 and move forward seven feet and stop 	[' and move forward seven feet and stop ']
					
85	a22.trans	 move forward about two feet 	move forward about two feet	 move forward about two feet 	[' move forward about two feet ']
85	a22.trans	 rotate to your left ninety degrees 	rotate to your left ninety degrees	 rotate to your left ninety degrees 	[' rotate to your left ninety degrees ']
85	a22.trans	 move forward about ten feet 	move forward about ten feet	 move forward about ten feet 	[' move forward about ten feet ']
85	a22.trans	 rotate to your left 	rotate to your left	 rotate to your left 	[' rotate to your left ']
85	a22.trans	 and move forward about two feet 	and move forward about two feet	 and move forward about two feet 	[' and move forward about two feet ']
					
86	a23.trans	[' turn all the way around	turn all the way around or rotate one hundred and eighty degrees	 turn all the way around or rotate one hundred and eighty degrees 	[' turn all the way around
86		or rotate one hundred and eighty degrees ']			or rotate one hundred and eighty degrees ']
