	segments	length_segment	dep_count_k	dependents_k	head_k	head_kLength	posK	dep_count_p	dependents_p	head_p	head_pLength	posP	index	depSum_p	depSum_k	headSum_p	headSum_k	cohesion	cohesion_norm	ifmt	inst_len	ifmt_norm
25	move two feet up	4	[2]	[{feet, up}]	['move']	[1]	['VERB']	[1]	[{two}]	['move']	[1]	['VERB']	8.0	1	2	1	1	1	0.25	-4.0	15.0	-0.27
26	turn right	2	[]	[]	[]	[]	[]	[1]	[{right}]	['turn']	[1]	['VERB']	8.0	1	0	1	0	-1	-0.5	-1.0	10.0	-0.1
27	move seven feet	3	[]	[]	[]	[]	[]	[1, 1]	[{feet}, {seven}]	['move', 'move']	[1, 1]	['VERB']	8.0	2	0	2	0	-2	-0.67	0.0	12.0	0.0
28	mok move two feet up	5	[3]	[{feet, up, mok}]	['move']	[1]	['VERB']	[1]	[{two}]	['move']	[1]	['VERB']	9.0	1	3	1	1	2	0.4	-3.0	17.0	-0.18
29	turn right	2	[]	[]	[]	[]	[]	[1]	[{right}]	['turn']	[1]	['VERB']	9.0	1	0	1	0	-1	-0.5	-3.0	17.0	-0.18
30	move seven feet	3	[]	[]	[]	[]	[]	[1, 1]	[{feet}, {seven}]	['move', 'move']	[1, 1]	['VERB']	9.0	2	0	2	0	-2	-0.67	0.0	12.0	0.0
31	mok move three feet back	5	[3]	[{mok, back, feet}]	['move']	[1]	['VERB']	[1]	[{three}]	['move']	[1]	['VERB']	10.0	1	3	1	1	2	0.4	-2.0	12.0	-0.17
32	mok turn right	3	[2]	[{mok, right}]	['turn']	[1]	['VERB']	[]	[]	[]	[]	[]	11.0	0	2	0	1	2	0.67	3.0	7.0	0.43
33	move two feet up	4	[2]	[{up, feet}]	['move']	[1]	['VERB']	[1]	[{two}]	['move']	[1]	['VERB']	11.0	1	2	1	1	1	0.25	0.0	18.0	0.0
34	turn right	2	[]	[]	[]	[]	[]	[1]	[{right}]	['turn']	[1]	['VERB']	11.0	1	0	1	0	-1	-0.5	2.0	5.0	0.4
35	move seven feet	3	[]	[]	[]	[]	[]	[1, 1]	[{feet}, {seven}]	['move', 'move']	[1, 1]	['VERB']	11.0	2	0	2	0	-2	-0.67	2.0	11.0	0.18
36	mok turn left	3	[2]	[{left, mok}]	['turn']	[1]	['NOUN']	[]	[]	[]	[]	[]	12.0	0	2	0	1	2	0.67	3.0	7.0	0.43
37	move two feet up	4	[2]	[{up, feet}]	['move']	[1]	['VERB']	[1]	[{two}]	['move']	[1]	['VERB']	12.0	1	2	1	1	1	0.25	0.0	18.0	0.0
38	turn right	2	[]	[]	[]	[]	[]	[1]	[{right}]	['turn']	[1]	['VERB']	12.0	1	0	1	0	-1	-0.5	-5.0	16.0	-0.31
39	move seven feet	3	[]	[]	[]	[]	[]	[1, 1]	[{feet}, {seven}]	['move', 'move']	[1, 1]	['VERB']	12.0	2	0	2	0	-2	-0.67	-2.0	11.0	-0.18
40	mok move two feet up	5	[3]	[{mok, up, feet}]	['move']	[1]	['VERB']	[1]	[{two}]	['move']	[1]	['VERB']	13.0	1	3	1	1	2	0.4	-1.0	7.0	-0.14
41	turn right	2	[]	[]	[]	[]	[]	[1]	[{right}]	['turn']	[1]	['VERB']	13.0	1	0	1	0	-1	-0.5	-4.0	15.0	-0.27
42	move seven feet	3	[]	[]	[]	[]	[]	[1, 1]	[{feet}, {seven}]	['move', 'move']	[1, 1]	['VERB']	13.0	2	0	2	0	-2	-0.67	-1.0	10.0	-0.1
43	mok move three feet up	5	[3]	[{up, mok, feet}]	['move']	[1]	['VERB']	[1]	[{three}]	['move']	[1]	['VERB']	14.0	1	3	1	1	2	0.4	-4.0	12.0	-0.33
44	mok move back four feet	5	[3]	[{back, mok, feet}]	['move']	[1]	['VERB']	[1]	[{four}]	['move']	[1]	['VERB']	15.0	1	3	1	1	2	0.4	-1.0	7.0	-0.14
45	turn right	2	[]	[]	[]	[]	[]	[1]	[{right}]	['turn']	[1]	['VERB']	15.0	1	0	1	0	-1	-0.5	-7.0	17.0	-0.41
46	move seven feet	3	[]	[]	[]	[]	[]	[1, 1]	[{feet}, {seven}]	['move', 'move']	[1, 1]	['VERB']	15.0	2	0	2	0	-2	-0.67	-3.0	10.0	-0.3
47	mok move four feet back	5	[3]	[{mok, back, feet}]	['move']	[1]	['VERB']	[1]	[{four}]	['move']	[1]	['VERB']	16.0	1	3	1	1	2	0.4	-1.0	10.0	-0.1
48	turn right	2	[]	[]	[]	[]	[]	[1]	[{right}]	['turn']	[1]	['VERB']	16.0	1	0	1	0	-1	-0.5	-1.0	16.0	-0.06
49	move seven feet	3	[]	[]	[]	[]	[]	[1, 1]	[{feet}, {seven}]	['move', 'move']	[1, 1]	['VERB']	16.0	2	0	2	0	-2	-0.67	-1.0	10.0	-0.1
50	mok move two feet up	5	[3]	[{feet, up, mok}]	['move']	[1]	['VERB']	[1]	[{two}]	['move']	[1]	['VERB']	17.0	1	3	1	1	2	0.4	2.0	16.0	0.12
51	turn right	2	[]	[]	[]	[]	[]	[1]	[{right}]	['turn']	[1]	['VERB']	17.0	1	0	1	0	-1	-0.5	-1.0	7.0	-0.14
52	move seven feet	3	[]	[]	[]	[]	[]	[1, 1]	[{feet}, {seven}]	['move', 'move']	[1, 1]	['VERB']	17.0	2	0	2	0	-2	-0.67	-1.0	13.0	-0.08
53	mok turn left	3	[2]	[{mok, left}]	['turn']	[1]	['NOUN']	[]	[]	[]	[]	[]	18.0	0	2	0	1	2	0.67	0.0	5.0	0.0
54	move three feet up	4	[2]	[{up, feet}]	['move']	[1]	['VERB']	[1]	[{three}]	['move']	[1]	['VERB']	18.0	1	2	1	1	1	0.25	-4.0	12.0	-0.33
55	mok turn right	3	[2]	[{mok, right}]	['turn']	[1]	['VERB']	[]	[]	[]	[]	[]	19.0	0	2	0	1	2	0.67	-1.0	10.0	-0.1
56	move two feet up	4	[2]	[{up, feet}]	['move']	[1]	['VERB']	[1]	[{two}]	['move']	[1]	['VERB']	19.0	1	2	1	1	1	0.25	0.0	12.0	0.0
57	turn right	2	[]	[]	[]	[]	[]	[1]	[{right}]	['turn']	[1]	['VERB']	19.0	1	0	1	0	-1	-0.5	-3.0	17.0	-0.18
58	move seven feet	3	[]	[]	[]	[]	[]	[1, 1]	[{feet}, {seven}]	['move', 'move']	[1, 1]	['VERB']	19.0	2	0	2	0	-2	-0.67	-4.0	15.0	-0.27
59	mok move four feet up	5	[3]	[{feet, mok, up}]	['move']	[1]	['VERB']	[1]	[{four}]	['move']	[1]	['VERB']	20.0	1	3	1	1	2	0.4	-1.0	7.0	-0.14
60	turn left	2	[]	[]	[]	[]	[]	[1]	[{left}]	['turn']	[1]	['VERB']	20.0	1	0	1	0	-1	-0.5	-4.0	13.0	-0.31
61	move seven feet	3	[]	[]	[]	[]	[]	[1, 1]	[{feet}, {seven}]	['move', 'move']	[1, 1]	['VERB']	20.0	2	0	2	0	-2	-0.67	-3.0	11.0	-0.27
62	mok turn right	3	[2]	[{mok, right}]	['turn']	[1]	['VERB']	[]	[]	[]	[]	[]	21.0	0	2	0	1	2	0.67	0.0	6.0	0.0
63	move four feet	3	[]	[]	[]	[]	[]	[1, 1]	[{feet}, {four}]	['move', 'move']	[1, 1]	['VERB']	21.0	2	0	2	0	-2	-0.67	-5.0	16.0	-0.31
64	turn left	2	[]	[]	[]	[]	[]	[1]	[{left}]	['turn']	[1]	['VERB']	21.0	1	0	1	0	-1	-0.5	-1.0	12.0	-0.08
65	move seven feet	3	[]	[]	[]	[]	[]	[1, 1]	[{feet}, {seven}]	['move', 'move']	[1, 1]	['VERB']	21.0	2	0	2	0	-2	-0.67	1.0	34.0	0.03
66	mok turn left	3	[2]	[{left, mok}]	['turn']	[1]	['NOUN']	[]	[]	[]	[]	[]	22.0	0	2	0	1	2	0.67	3.0	8.0	0.38
67	move two feet up	4	[2]	[{feet, up}]	['move']	[1]	['VERB']	[1]	[{two}]	['move']	[1]	['VERB']	22.0	1	2	1	1	1	0.25	2.0	15.0	0.13
68	turn right	2	[]	[]	[]	[]	[]	[1]	[{right}]	['turn']	[1]	['VERB']	22.0	1	0	1	0	-1	-0.5	-2.0	20.0	-0.1
69	move eleven feet	3	[]	[]	[]	[]	[]	[1, 1]	[{feet}, {eleven}]	['move', 'move']	[1, 1]	['VERB']	22.0	2	0	2	0	-2	-0.67	0.0	25.0	0.0
70	turn right	2	[]	[]	[]	[]	[]	[1]	[{right}]	['turn']	[1]	['VERB']	22.0	1	0	1	0	-1	-0.5	15.0	20.0	0.75
71	move two feet	3	[]	[]	[]	[]	[]	[1, 1]	[{feet}, {two}]	['move', 'move']	[1, 1]	['VERB']	22.0	2	0	2	0	-2	-0.67	-6.0	27.0	-0.22
72	mok turn left	3	[2]	[{left, mok}]	['turn']	[1]	['NOUN']	[]	[]	[]	[]	[]	23.0	0	2	0	1	2	0.67	-6.0	8.0	-0.75
73	move two feet up	4	[2]	[{feet, up}]	['move']	[1]	['VERB']	[1]	[{two}]	['move']	[1]	['VERB']	23.0	1	2	1	1	1	0.25	3.0	28.0	0.11
74	turn right	2	[]	[]	[]	[]	[]	[1]	[{right}]	['turn']	[1]	['VERB']	23.0	1	0	1	0	-1	-0.5	1.0	13.0	0.08
75	move seven feet	3	[]	[]	[]	[]	[]	[1, 1]	[{feet}, {seven}]	['move', 'move']	[1, 1]	['VERB']	23.0	2	0	2	0	-2	-0.67	1.0	16.0	0.06
76	mok turn left	3	[2]	[{mok, left}]	['turn']	[1]	['NOUN']	[]	[]	[]	[]	[]	24.0	0	2	0	1	2	0.67	-1.0	21.0	-0.05
77	move three feet	3	[]	[]	[]	[]	[]	[1, 1]	[{feet}, {three}]	['move', 'move']	[1, 1]	['VERB']	24.0	2	0	2	0	-2	-0.67	6.0	33.0	0.18
78	mok move up a foot	5	[3]	[{foot, up, mok}]	['move']	[1]	['VERB']	[1]	[{a}]	['move']	[1]	['VERB']	25.0	1	3	1	1	2	0.4	3.0	25.0	0.12
79	turn left	2	[]	[]	[]	[]	[]	[1]	[{left}]	['turn']	[1]	['VERB']	25.0	1	0	1	0	-1	-0.5	2.0	16.0	0.12
80	move eleven feet	3	[]	[]	[]	[]	[]	[1, 1]	[{feet}, {eleven}]	['move', 'move']	[1, 1]	['VERB']	25.0	2	0	2	0	-2	-0.67	2.0	16.0	0.12
81	turn left	2	[]	[]	[]	[]	[]	[1]	[{left}]	['turn']	[1]	['VERB']	25.0	1	0	1	0	-1	-0.5	5.0	20.0	0.25
82	move a foot	3	[]	[]	[]	[]	[]	[1, 1]	[{foot}, {a}]	['move', 'move']	[1, 1]	['VERB']	25.0	2	0	2	0	-2	-0.67	5.0	28.0	0.18
83	mok move four feet up	5	[3]	[{up, feet, mok}]	['move']	[1]	['VERB']	[1]	[{four}]	['move']	[1]	['VERB']	26.0	1	3	1	1	2	0.4	-1.0	25.0	-0.04
84	turn left	2	[]	[]	[]	[]	[]	[1]	[{left}]	['turn']	[1]	['VERB']	26.0	1	0	1	0	-1	-0.5	17.0	30.0	0.57
85	move seven feet	3	[]	[]	[]	[]	[]	[1, 1]	[{feet}, {seven}]	['move', 'move']	[1, 1]	['VERB']	26.0	2	0	2	0	-2	-0.67	0.0	27.0	0.0
86	mok turn right	3	[2]	[{mok, right}]	['turn']	[1]	['VERB']	[]	[]	[]	[]	[]	27.0	0	2	0	1	2	0.67	10.0	31.0	0.32
87	move four feet up	4	[2]	[{feet, up}]	['move']	[1]	['VERB']	[1]	[{four}]	['move']	[1]	['VERB']	27.0	1	2	1	1	1	0.25	4.0	32.0	0.12
88	turn left	2	[]	[]	[]	[]	[]	[1]	[{left}]	['turn']	[1]	['VERB']	27.0	1	0	1	0	-1	-0.5	3.0	6.0	0.5
89	move seven feet	3	[]	[]	[]	[]	[]	[1, 1]	[{feet}, {seven}]	['move', 'move']	[1, 1]	['VERB']	27.0	2	0	2	0	-2	-0.67	-1.0	37.0	-0.03
90	mok turn left	3	[2]	[{mok, left}]	['turn']	[1]	['NOUN']	[]	[]	[]	[]	[]	28.0	0	2	0	1	2	0.67	14.0	25.0	0.56
91	move a foot	3	[]	[]	[]	[]	[]	[1, 1]	[{foot}, {a}]	['move', 'move']	[1, 1]	['VERB']	28.0	2	0	2	0	-2	-0.67	2.0	14.0	0.14
92	turn right	2	[]	[]	[]	[]	[]	[1]	[{right}]	['turn']	[1]	['VERB']	28.0	1	0	1	0	-1	-0.5	4.0	26.0	0.15
93	move eleven feet	3	[]	[]	[]	[]	[]	[1, 1]	[{feet}, {eleven}]	['move', 'move']	[1, 1]	['VERB']	28.0	2	0	2	0	-2	-0.67	-1.0	16.0	-0.06
94	turn left	2	[]	[]	[]	[]	[]	[1]	[{left}]	['turn']	[1]	['VERB']	28.0	1	0	1	0	-1	-0.5	14.0	21.0	0.67
95	move a foot up	4	[2]	[{foot, up}]	['move']	[1]	['VERB']	[1]	[{a}]	['move']	[1]	['VERB']	28.0	1	2	1	1	1	0.25	8.0	21.0	0.38
96	mok turn right	3	[2]	[{mok, right}]	['turn']	[1]	['VERB']	[]	[]	[]	[]	[]	29.0	0	2	0	1	2	0.67	11.0	43.0	0.26
97	move up a foot	4	[2]	[{up, foot}]	['move']	[1]	['VERB']	[1]	[{a}]	['move']	[1]	['VERB']	29.0	1	2	1	1	1	0.25	3.0	25.0	0.12
98	turn right	2	[]	[]	[]	[]	[]	[1]	[{right}]	['turn']	[1]	['VERB']	29.0	1	0	1	0	-1	-0.5	1.0	28.0	0.04
99	move eleven feet	3	[]	[]	[]	[]	[]	[1, 1]	[{feet}, {eleven}]	['move', 'move']	[1, 1]	['VERB']	29.0	2	0	2	0	-2	-0.67	3.0	31.0	0.1
100	turn right	2	[]	[]	[]	[]	[]	[1]	[{right}]	['turn']	[1]	['VERB']	29.0	1	0	1	0	-1	-0.5	2.0	22.0	0.09
101	move a foot	3	[]	[]	[]	[]	[]	[1, 1]	[{foot}, {a}]	['move', 'move']	[1, 1]	['VERB']	29.0	2	0	2	0	-2	-0.67	4.0	17.0	0.24
102	mok turn right	3	[2]	[{right, mok}]	['turn']	[1]	['VERB']	[]	[]	[]	[]	[]	30.0	0	2	0	1	2	0.67	-3.0	24.0	-0.12
103	move four feet up	4	[2]	[{up, feet}]	['move']	[1]	['VERB']	[1]	[{four}]	['move']	[1]	['VERB']	30.0	1	2	1	1	1	0.25	-1.0	26.0	-0.04
104	turn left	2	[]	[]	[]	[]	[]	[1]	[{left}]	['turn']	[1]	['VERB']	30.0	1	0	1	0	-1	-0.5	9.0	23.0	0.39
105	move seven feet	3	[]	[]	[]	[]	[]	[1, 1]	[{feet}, {seven}]	['move', 'move']	[1, 1]	['VERB']	30.0	2	0	2	0	-2	-0.67	5.0	28.0	0.18
106	mok move up four feet	5	[3]	[{mok, up, feet}]	['move']	[1]	['VERB']	[1]	[{four}]	['move']	[1]	['VERB']	31.0	1	3	1	1	2	0.4	0.0	10.0	0.0
107	turn left	2	[]	[]	[]	[]	[]	[1]	[{left}]	['turn']	[1]	['VERB']	31.0	1	0	1	0	-1	-0.5	5.0	37.0	0.14
108	move seven feet	3	[]	[]	[]	[]	[]	[1, 1]	[{feet}, {seven}]	['move', 'move']	[1, 1]	['VERB']	31.0	2	0	2	0	-2	-0.67	2.0	24.0	0.08
109	mok turn right	3	[2]	[{right, mok}]	['turn']	[1]	['VERB']	[]	[]	[]	[]	[]	32.0	0	2	0	1	2	0.67	5.0	18.0	0.28
110	move three feet up	4	[2]	[{feet, up}]	['move']	[1]	['VERB']	[1]	[{three}]	['move']	[1]	['VERB']	32.0	1	2	1	1	1	0.25	18.0	40.0	0.45
111	mok turn left	3	[2]	[{left, mok}]	['turn']	[1]	['NOUN']	[]	[]	[]	[]	[]	33.0	0	2	0	1	2	0.67	4.0	27.0	0.15
112	move up two feet	4	[2]	[{up, feet}]	['move']	[1]	['VERB']	[1]	[{two}]	['move']	[1]	['VERB']	33.0	1	2	1	1	1	0.25	11.0	37.0	0.3
113	turn right	2	[]	[]	[]	[]	[]	[1]	[{right}]	['turn']	[1]	['VERB']	33.0	1	0	1	0	-1	-0.5	2.0	10.0	0.2
114	move eleven feet	3	[]	[]	[]	[]	[]	[1, 1]	[{feet}, {eleven}]	['move', 'move']	[1, 1]	['VERB']	33.0	2	0	2	0	-2	-0.67	2.0	24.0	0.08
115	turn right	2	[]	[]	[]	[]	[]	[1]	[{right}]	['turn']	[1]	['VERB']	33.0	1	0	1	0	-1	-0.5	2.0	29.0	0.07
116	move two feet down	4	[2]	[{down, feet}]	['move']	[1]	['VERB']	[1]	[{two}]	['move']	[1]	['VERB']	33.0	1	2	1	1	1	0.25	10.0	12.0	0.83
117	mok move three feet up	5	[3]	[{up, feet, mok}]	['move']	[1]	['VERB']	[1]	[{three}]	['move']	[1]	['VERB']	34.0	1	3	1	1	2	0.4	4.0	17.0	0.24
118	mok move two feet back	5	[3]	[{feet, mok, back}]	['move']	[1]	['VERB']	[1]	[{two}]	['move']	[1]	['VERB']	35.0	1	3	1	1	2	0.4	5.0	32.0	0.16
119	turn left	2	[]	[]	[]	[]	[]	[1]	[{left}]	['turn']	[1]	['VERB']	35.0	1	0	1	0	-1	-0.5	3.0	6.0	0.5
120	move seven feet up	4	[2]	[{up, feet}]	['move']	[1]	['VERB']	[1]	[{seven}]	['move']	[1]	['VERB']	35.0	1	2	1	1	1	0.25	11.0	29.0	0.38
121	mok turn right	3	[2]	[{mok, right}]	['turn']	[1]	['VERB']	[]	[]	[]	[]	[]	36.0	0	2	0	1	2	0.67	7.0	15.0	0.47
122	move three feet up	4	[2]	[{up, feet}]	['move']	[1]	['VERB']	[1]	[{three}]	['move']	[1]	['VERB']	36.0	1	2	1	1	1	0.25	1.0	23.0	0.04
123	mok turn left	3	[2]	[{left, mok}]	['turn']	[1]	['NOUN']	[]	[]	[]	[]	[]	37.0	0	2	0	1	2	0.67	2.0	26.0	0.08
124	move two feet up	4	[2]	[{feet, up}]	['move']	[1]	['VERB']	[1]	[{two}]	['move']	[1]	['VERB']	37.0	1	2	1	1	1	0.25	3.0	35.0	0.09
125	turn left	2	[]	[]	[]	[]	[]	[1]	[{left}]	['turn']	[1]	['VERB']	37.0	1	0	1	0	-1	-0.5	-2.0	17.0	-0.12
126	move eleven feet	3	[]	[]	[]	[]	[]	[1, 1]	[{feet}, {eleven}]	['move', 'move']	[1, 1]	['VERB']	37.0	2	0	2	0	-2	-0.67	2.0	22.0	0.09
127	turn left	2	[]	[]	[]	[]	[]	[1]	[{left}]	['turn']	[1]	['VERB']	37.0	1	0	1	0	-1	-0.5	-4.0	25.0	-0.16
128	move up two feet	4	[2]	[{up, feet}]	['move']	[1]	['VERB']	[1]	[{two}]	['move']	[1]	['VERB']	37.0	1	2	1	1	1	0.25	2.0	12.0	0.17
129	mok move two feet up	5	[3]	[{feet, up, mok}]	['move']	[1]	['VERB']	[1]	[{two}]	['move']	[1]	['VERB']	38.0	1	3	1	1	2	0.4	-1.0	11.0	-0.09
130	turn right	2	[]	[]	[]	[]	[]	[1]	[{right}]	['turn']	[1]	['VERB']	38.0	1	0	1	0	-1	-0.5	0.0	10.0	0.0
131	move eleven feet	3	[]	[]	[]	[]	[]	[1, 1]	[{feet}, {eleven}]	['move', 'move']	[1, 1]	['VERB']	38.0	2	0	2	0	-2	-0.67	-4.0	12.0	-0.33
132	turn right	2	[]	[]	[]	[]	[]	[1]	[{right}]	['turn']	[1]	['VERB']	38.0	1	0	1	0	-1	-0.5	-2.0	7.0	-0.29
133	move two feet forward	4	[]	[]	[]	[]	[]	[1, 1, 1]	[{forward}, {two}, {feet}]	['move', 'forward', 'move']	[1, 1, 1]	['VERB']	38.0	3	0	3	0	-3	-0.75	0.0	7.0	0.0
134	mok move two feet back	5	[3]	[{feet, mok, back}]	['move']	[1]	['VERB']	[1]	[{two}]	['move']	[1]	['VERB']	39.0	1	3	1	1	2	0.4	-4.0	20.0	-0.2
135	turn left	2	[]	[]	[]	[]	[]	[1]	[{left}]	['turn']	[1]	['VERB']	39.0	1	0	1	0	-1	-0.5	-7.0	21.0	-0.33
136	move seven feet forward	4	[]	[]	[]	[]	[]	[1, 1, 1]	[{forward}, {seven}, {feet}]	['move', 'forward', 'move']	[1, 1, 1]	['VERB']	39.0	3	0	3	0	-3	-0.75	2.0	12.0	0.17
137	mok turn right	3	[2]	[{mok, right}]	['turn']	[1]	['VERB']	[]	[]	[]	[]	[]	40.0	0	2	0	1	2	0.67	-8.0	24.0	-0.33
138	move three feet forward	4	[]	[]	[]	[]	[]	[1, 1, 1]	[{forward}, {three}, {feet}]	['move', 'forward', 'move']	[1, 1, 1]	['VERB']	40.0	3	0	3	0	-3	-0.75	-4.0	12.0	-0.33
139	mok move two feet up	5	[3]	[{up, feet, mok}]	['move']	[1]	['VERB']	[1]	[{two}]	['move']	[1]	['VERB']	41.0	1	3	1	1	2	0.4	-5.0	17.0	-0.29
140	turn right	2	[]	[]	[]	[]	[]	[1]	[{right}]	['turn']	[1]	['VERB']	41.0	1	0	1	0	-1	-0.5	-4.0	12.0	-0.33
141	move eleven feet	3	[]	[]	[]	[]	[]	[1, 1]	[{feet}, {eleven}]	['move', 'move']	[1, 1]	['VERB']	41.0	2	0	2	0	-2	-0.67	-4.0	12.0	-0.33
142	turn right	2	[]	[]	[]	[]	[]	[1]	[{right}]	['turn']	[1]	['VERB']	41.0	1	0	1	0	-1	-0.5	-2.0	8.0	-0.25
143	move two feet	3	[]	[]	[]	[]	[]	[1, 1]	[{feet}, {two}]	['move', 'move']	[1, 1]	['VERB']	41.0	2	0	2	0	-2	-0.67	-7.0	21.0	-0.33
144	mok move four feet backwards	5	[3]	[{feet, backwards, mok}]	['move']	[1]	['VERB']	[1]	[{four}]	['move']	[1]	['VERB']	42.0	1	3	1	1	2	0.4	-11.0	21.0	-0.52
145	turn right	2	[]	[]	[]	[]	[]	[1]	[{right}]	['turn']	[1]	['VERB']	42.0	1	0	1	0	-1	-0.5	-4.0	12.0	-0.33
146	move seven feet	3	[]	[]	[]	[]	[]	[1, 1]	[{feet}, {seven}]	['move', 'move']	[1, 1]	['VERB']	42.0	2	0	2	0	-2	-0.67	-8.0	20.0	-0.4
147	mok turn right	3	[2]	[{mok, right}]	['turn']	[1]	['VERB']	[]	[]	[]	[]	[]	43.0	0	2	0	1	2	0.67	-4.0	22.0	-0.18
148	move two feet forward	4	[]	[]	[]	[]	[]	[1, 1, 1]	[{forward}, {two}, {feet}]	['move', 'forward', 'move']	[1, 1, 1]	['VERB']	43.0	3	0	3	0	-3	-0.75	-3.0	4.0	-0.75
149	turn right	2	[]	[]	[]	[]	[]	[1]	[{right}]	['turn']	[1]	['VERB']	43.0	1	0	1	0	-1	-0.5	-1.0	11.0	-0.09
150	move seven feet	3	[]	[]	[]	[]	[]	[1, 1]	[{feet}, {seven}]	['move', 'move']	[1, 1]	['VERB']	43.0	2	0	2	0	-2	-0.67	-7.0	9.0	-0.78
151	mok turn right	3	[2]	[{right, mok}]	['turn']	[1]	['VERB']	[]	[]	[]	[]	[]	44.0	0	2	0	1	2	0.67	2.0	8.0	0.25
